"v11","v12","v13","v14","v15","v16","v17","v18","v19","v110","v111","v112","v32","v33","v34","v35","v5","v6","v7","v8","v9","v10","v11","v12","v13","y"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760,3,51,54,45.32,1450,25,57.02,60,5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5720,4,69,35,49.64,1568,15,53.78,60,6
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5790,6,19,45,46.4,2631,-33,54.14,100,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5790,3,25,55,52.7,554,-28,64.76,250,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5700,3,73,41,48.02,2083,23,52.52,120,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5720,3,44,51,54.32,111,9,63.14,150,6
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5760,6,33,51,57.56,492,-44,64.58,40,5
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5780,6,19,54,56.12,5000,-44,56.3,200,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5830,3,19,58,62.24,1249,-53,75.74,250,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5870,2,19,61,64.94,5000,-67,65.48,200,7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5680,5,73,52,56.48,393,-68,69.8,10,4
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5760,3,19,54,53.6,5000,-58,51.98,250,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5730,4,26,58,52.7,5000,-26,51.98,200,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5700,5,59,69,51.08,3044,18,52.88,150,5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5820,5,19,59,59.36,597,-52,70.52,70,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5810,5,19,64,56.66,1791,-15,64.76,150,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5790,3,28,63,57.38,793,-15,65.84,120,11
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5770,8,76,63,57.2,816,-7,66.2,6,12
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5670,3,69,54,45.5,3651,62,49.1,30,9
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5590,3,76,36,37.4,5000,70,37.94,100,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5410,6,64,31,32.18,5000,28,32.36,200,3
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5350,7,62,30,32.54,1341,18,45.86,60,3
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5490,11,72,37,38.48,5000,32,38.12,350,3
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5560,10,72,41,40.46,5000,-1,37.58,300,4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5680,5,50,51,47.12,5000,-8,45.5,300,8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5700,4,86,55,49.28,2398,21,53.78,200,6
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5770,5,68,45,52.88,2778,2,55.76,200,11
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5770,3,82,55,55.4,442,26,58.28,40,13
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5690,8,21,41,43.88,5000,-30,42.26,300,6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5690,7,19,53,50.18,5000,7,49.1,300,4
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5640,5,68,50,37.4,5000,24,42.08,300,6
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5720,6,63,60,53.06,1341,19,59.18,150,10
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5740,3,54,54,56.48,1318,2,64.58,150,15
