"dataset","split","B","nodesize","method","mse","mae","lambda","lambda_naive","leaves","n_eff","n_train"
"boston",1,5,5,"RF",18.0406550116661,2.69932769423559,0.974591570597656,0.989549430604612,113.2,1.84025461783502,354
"boston",1,5,5,"SSRF-JS",18.3227283667974,2.72940594058446,0.974591570597656,0.989549430604612,113.2,1.84025461783502,354
"boston",1,5,5,"SSRF",18.200941231562,2.72936136633603,0.974591570597656,0.989549430604612,113.2,1.84025461783502,354
"boston",1,5,5,"SSRF-naive",18.071594492761,2.71353499674848,0.974591570597656,0.989549430604612,113.2,1.84025461783502,354
"boston",1,10,5,"RF",14.1083880985093,2.46332587587851,0.968081283999124,0.988215867975508,117.3,1.79102020351464,354
"boston",1,10,5,"SSRF-JS",14.9511920029766,2.5392789195214,0.968081283999124,0.988215867975508,117.3,1.79102020351464,354
"boston",1,10,5,"SSRF",14.9598400727111,2.53884390787656,0.968081283999124,0.988215867975508,117.3,1.79102020351464,354
"boston",1,10,5,"SSRF-naive",14.4028611190184,2.49045446923535,0.968081283999124,0.988215867975508,117.3,1.79102020351464,354
"boston",1,25,5,"RF",10.8522882378701,2.33700489154625,0.979042649219973,0.992097619087124,115.36,1.81233682744512,354
"boston",1,25,5,"SSRF-JS",10.8780129154797,2.35374375466324,0.979042649219973,0.992097619087124,115.36,1.81233682744512,354
"boston",1,25,5,"SSRF",10.8726869881452,2.3547927949259,0.979042649219973,0.992097619087124,115.36,1.81233682744512,354
"boston",1,25,5,"SSRF-naive",10.8505282917233,2.34446492205359,0.979042649219973,0.992097619087124,115.36,1.81233682744512,354
"boston",1,25,5,"RF-tuned",10.7574350526316,2.25647368421053,0.979042649219973,0.992097619087124,115.36,1.81233682744512,354
"boston",1,25,5,"SSRF-tuned",12.4128012803621,2.40183438043587,0.979042649219973,0.992097619087124,115.36,1.81233682744512,354
"boston",1,25,5,"GBM",12.81484693401,2.37085378510848,0.979042649219973,0.992097619087124,115.36,1.81233682744512,354
"boston",1,25,5,"LassoRF",8.94709886958523,2.17159786207944,0.979042649219973,0.992097619087124,115.36,1.81233682744512,354
"boston",1,25,5,"LLF",11.3144101994255,2.19195231263105,0.979042649219973,0.992097619087124,115.36,1.81233682744512,354
"boston",1,100,5,"RF",23.6916176989399,2.70871090610519,0.975568797617946,0.99080426105079,115.03,1.81374372255863,354
"boston",1,100,5,"SSRF-JS",23.9721001622046,2.74269229672134,0.975568797617946,0.99080426105079,115.03,1.81374372255863,354
"boston",1,100,5,"SSRF",24.0218106390369,2.74369741357684,0.975568797617946,0.99080426105079,115.03,1.81374372255863,354
"boston",1,100,5,"SSRF-naive",23.8335034393465,2.72160764008959,0.975568797617946,0.99080426105079,115.03,1.81374372255863,354
"boston",1,100,5,"RF-tuned",23.0820077613304,2.73155921052632,0.975568797617946,0.99080426105079,115.03,1.81374372255863,354
"boston",1,100,5,"SSRF-tuned",23.4169747823324,2.7437318236033,0.975568797617946,0.99080426105079,115.03,1.81374372255863,354
"boston",1,100,5,"GBM",21.4915511918524,2.7419378295788,0.975568797617946,0.99080426105079,115.03,1.81374372255863,354
"boston",1,100,5,"LassoRF",25.1150611658335,2.7515304599717,0.975568797617946,0.99080426105079,115.03,1.81374372255863,354
"boston",1,100,5,"LLF",16.1926590266116,2.41639735307819,0.975568797617946,0.99080426105079,115.03,1.81374372255863,354
"boston",1,500,5,"RF",7.31426771961835,1.95091056500445,0.969480554010677,0.988517350760137,115.9,1.79713350870296,354
"boston",1,500,5,"SSRF-JS",7.68486930651092,1.98585827057766,0.969480554010677,0.988517350760137,115.9,1.79713350870296,354
"boston",1,500,5,"SSRF",7.68760887595422,1.98674562939014,0.969480554010677,0.988517350760137,115.9,1.79713350870296,354
"boston",1,500,5,"SSRF-naive",7.45899530069218,1.96461045710628,0.969480554010677,0.988517350760137,115.9,1.79713350870296,354
"boston",1,500,5,"RF-tuned",7.18831211272257,1.93183261662168,0.969480554010677,0.988517350760137,115.9,1.79713350870296,354
"boston",1,500,5,"SSRF-tuned",7.71869216184741,1.97179803192638,0.969480554010677,0.988517350760137,115.9,1.79713350870296,354
"boston",1,500,5,"GBM",7.62139925659772,2.00627899610305,0.969480554010677,0.988517350760137,115.9,1.79713350870296,354
"boston",1,500,5,"LassoRF",7.18676325465553,1.91502044061005,0.969480554010677,0.988517350760137,115.9,1.79713350870296,354
"boston",1,500,5,"LLF",6.84537866354717,1.90798684217575,0.969480554010677,0.988517350760137,115.9,1.79713350870296,354
"boston",2,5,5,"RF",10.2463814445698,2.37598016347687,0.964655297059713,0.986042883306545,113.6,1.81716176900518,354
"boston",2,5,5,"SSRF-JS",10.5402055815205,2.43390584067853,0.964655297059713,0.986042883306545,113.6,1.81716176900518,354
"boston",2,5,5,"SSRF",10.5660012999814,2.43044973113766,0.964655297059713,0.986042883306545,113.6,1.81716176900518,354
"boston",2,5,5,"SSRF-naive",10.3804691089245,2.39449526720068,0.964655297059713,0.986042883306545,113.6,1.81716176900518,354
"boston",2,10,5,"RF",20.9642594903362,2.73122493734336,0.974527539337767,0.989800976770026,115.6,1.81653280512642,354
"boston",2,10,5,"SSRF-JS",21.2673692141401,2.74609791166979,0.974527539337767,0.989800976770026,115.6,1.81653280512642,354
"boston",2,10,5,"SSRF",21.266139033046,2.74800862458468,0.974527539337767,0.989800976770026,115.6,1.81653280512642,354
