"dataset","B","n_train","gain_js","gain_eb","gain_naive","win_js","wilcox_p","holm_p","n"
"airquality",5,NA,2.19010184579134,1.63971937456395,0.444381965352114,33.3333333333333,0.982731632888317,1,111
"airquality",10,NA,6.13166923340296,7.37689352330565,3.2436037543995,0,1,1,111
"airquality",25,NA,7.2114804684264,8.2866443444096,2.90929665734815,13.3333333333333,0.99999993480742,1,111
"airquality",100,NA,9.3563580673291,10.4589918684274,3.7981848080636,6.66666666666667,0.999999997206032,1,111
"airquality",500,NA,7.83787622757767,9.39108805610586,3.50021334799319,6.66666666666667,0.999999997206032,1,111
"attitude",5,NA,-0.118082662719887,-0.117619292915594,-0.408887389788309,56.6666666666667,0.342523536644876,1,30
"attitude",10,NA,1.01893807017237,1.70081160570936,0.0698330886687581,33.3333333333333,0.914700802415609,1,30
"attitude",25,NA,1.26685381429604,2.02613747766485,0.4452952912258,30,0.996902504004538,1,30
"attitude",100,NA,1.8495704928403,2.80072438053411,1.11589417236648,23.3333333333333,0.999434272758663,1,30
"attitude",500,NA,2.17181904625037,3.14220484374238,1.20366862263427,20,0.995349438861012,1,30
"boston",5,NA,1.10841459613759,0.902347659725555,0.270423629023886,20,0.999938331544399,1,506
"boston",10,NA,3.15846137007985,3.01135763520505,1.20144590640563,3.33333333333333,0.999999997206032,1,506
"boston",25,NA,3.00271779623656,3.19927406033281,1.18122259202388,0,1,1,506
"boston",100,NA,3.86374874388323,3.93423936443039,1.57349068225732,0,1,1,506
"boston",500,NA,3.43556229085029,3.63282675275819,1.42016585817929,0,1,1,506
"cpus",5,NA,2.34204311758258,2.31119292148848,0.785067337471879,40,0.954025186598301,1,209
"cpus",10,NA,4.30370974870399,5.01060228876482,1.80960740320123,20,0.999938331544399,1,209
"cpus",25,NA,6.3288049215626,7.25810934502791,2.76923210180209,13.3333333333333,0.999997013248503,1,209
"cpus",100,NA,7.19519768116008,8.3214797798327,3.00904528061039,20,0.999998618848622,1,209
"cpus",500,NA,6.77709143903791,7.42100080737701,2.54706749654883,13.3333333333333,0.999998380430043,1,209
"mcycle",5,NA,-1.28026853984446,-2.00297163091604,-1.02356115954669,56.6666666666667,0.169370892457664,1,133
"mcycle",10,NA,-3.11090815418266,-3.59021186050528,-1.52156527100855,73.3333333333333,0.000791641883552075,0.0356238847598434,133
"mcycle",25,NA,-0.0904150648942559,0.346791610101832,-0.420256506530015,50,0.327719212509692,1,133
"mcycle",100,NA,-1.54271792593209,-1.90212374014118,-1.04446962073786,66.6666666666667,0.0501986779272556,1,133
"mcycle",500,NA,0.592292442702691,0.607631497441552,-0.00333143422616144,43.3333333333333,0.657476463355124,1,133
"ozone",5,NA,1.94135888479281,2.04448319213844,0.992970519824155,20,0.999790801666677,1,203
"ozone",10,NA,2.93554716385661,2.97860695932066,1.60452029125079,16.6666666666667,0.999986557289958,1,203
"ozone",25,NA,4.59549517429383,4.69476860445673,2.40061964623582,6.66666666666667,0.999999969266355,1,203
"ozone",100,NA,4.15112772841463,4.39178594914119,2.30129301161944,6.66666666666667,0.999999993480742,1,203
"ozone",500,NA,3.96404855354746,4.01493012213798,1.85884955024681,10,0.999999948777258,1,203
"savings",5,NA,-3.81656816581909,-5.26784947797803,-1.705721253885,70,0.00269138999283314,0.118421159684658,50
"savings",10,NA,-1.26226559268379,-1.02308941408671,-0.705983081124828,60,0.0646765381097794,1,50
"savings",25,NA,-0.592080447238275,-0.856093765187271,-0.70532921174305,60,0.0852991975843907,1,50
"savings",100,NA,-0.612010418942865,-0.385711115280241,-0.237305821699751,50,0.213977303355932,1,50
"savings",500,NA,0.0166351232008644,-0.228835577867276,-0.601110555772394,50,0.135502814315259,1,50
"servo",5,NA,7.31346251801354,6.69976864443977,2.2308813802233,23.3333333333333,0.999964715912938,1,167
"servo",10,NA,10.5200224214848,12.8748638728788,5.02121334796233,3.33333333333333,0.999999999068677,1,167
"servo",25,NA,12.1650622760712,14.3864196550958,5.71375296291603,0,1,1,167
"servo",100,NA,21.8531063663069,24.9012811960813,9.72167610911539,0,1,1,167
"servo",500,NA,18.0004205332129,20.7878123411899,8.08091750361373,0,1,1,167
"swiss",5,NA,1.20683127966486,2.10263337610145,0.563294494142375,43.3333333333333,0.897295153699815,1,47
"swiss",10,NA,2.54301006691411,3.26267281128392,0.858938633361594,23.3333333333333,0.999208358116448,1,47
"swiss",25,NA,4.39922164785973,6.2153748311418,2.20747253659974,16.6666666666667,0.999964715912938,1,47
"swiss",100,NA,4.70935152708929,6.00510949284129,2.40936108646141,16.6666666666667,0.999995389953256,1,47
"swiss",500,NA,6.93465359106468,9.46207949285713,3.27878830209569,13.3333333333333,0.999998825602233,1,47
