dataset,n,p,split,B,method,mse,mae,runtime,lam,lam_naive,leaves,n_eff,n_train
airquality,111,5,0,5,RF,358.93980294097435,15.808499278499278,0.009107415000016772,0.8658857820417338,0.9318161261988654,12.0,3.6458144670249264,78
airquality,111,5,0,5,SSRF-JS,387.5162837093363,16.231905424811856,0.009107415000016772,0.8658857820417338,0.9318161261988654,12.0,3.6458144670249264,78
airquality,111,5,0,5,SSRF,403.74657239178936,16.45269684437236,0.009107415000016772,0.8658857820417338,0.9318161261988654,12.0,3.6458144670249264,78
airquality,111,5,0,5,SSRF-naive,370.8607155981884,16.036923236367965,0.004571283000132098,0.8658857820417338,0.9318161261988654,12.0,3.6458144670249264,78
airquality,111,5,0,5,SSRF-rob,371.1822653264856,16.023606818206794,0.011429988999907437,0.8658857820417338,0.9318161261988654,12.0,3.6458144670249264,78
airquality,111,5,0,10,RF,435.4319553700346,15.89739284284739,0.014740060999884008,0.8762744000893214,0.9327071923838771,11.5,3.6098347046054418,78
airquality,111,5,0,10,SSRF-JS,496.64840571569187,17.2469903989591,0.014740060999884008,0.8762744000893214,0.9327071923838771,11.5,3.6098347046054418,78
airquality,111,5,0,10,SSRF,505.7735561900075,17.450768063665564,0.014740060999884008,0.8762744000893214,0.9327071923838771,11.5,3.6098347046054418,78
airquality,111,5,0,10,SSRF-naive,465.53651395756515,16.599563266711208,0.012851300999955129,0.8762744000893214,0.9327071923838771,11.5,3.6098347046054418,78
airquality,111,5,0,10,SSRF-rob,473.2443784146387,16.74357762051269,0.018257818999927622,0.8762744000893214,0.9327071923838771,11.5,3.6098347046054418,78
airquality,111,5,0,25,RF,253.45743884982497,13.383589269316545,0.023070271000051434,0.8883330431471762,0.9354491441934334,11.44,3.82049649642733,78
airquality,111,5,0,25,SSRF-JS,292.7247796913368,14.209565160714922,0.023070271000051434,0.8883330431471762,0.9354491441934334,11.44,3.82049649642733,78
airquality,111,5,0,25,SSRF,303.10649016015157,14.392113063521885,0.023070271000051434,0.8883330431471762,0.9354491441934334,11.44,3.82049649642733,78
airquality,111,5,0,25,SSRF-naive,275.05155970922897,13.860429787986252,0.02224988500006475,0.8883330431471762,0.9354491441934334,11.44,3.82049649642733,78
airquality,111,5,0,25,SSRF-rob,272.8013669437487,13.815700591914803,0.04112332099998639,0.8883330431471762,0.9354491441934334,11.44,3.82049649642733,78
airquality,111,5,0,25,RF-tuned,145.69342562083418,10.108329004329004,1.2808073809999314,0.8883330431471762,0.9354491441934334,11.44,3.82049649642733,78
airquality,111,5,0,25,SSRF-tuned,186.05789488003148,11.687834788812662,1.3041773809998176,0.8883330431471762,0.9354491441934334,11.44,3.82049649642733,78
airquality,111,5,0,25,LassoRF,267.1871900637199,12.640839678921404,0.049523183000019344,0.8883330431471762,0.9354491441934334,11.44,3.82049649642733,78
airquality,111,5,0,25,GBM,270.36675216566766,12.691228785621739,0.053309109000110766,0.8883330431471762,0.9354491441934334,11.44,3.82049649642733,78
airquality,111,5,0,100,RF,415.46971899136304,14.45055407993566,0.14934162699978515,0.8757165208954523,0.9281565498570905,11.49,3.74925145958979,78
airquality,111,5,0,100,SSRF-JS,472.2090477351792,15.360138560782941,0.14934162699978515,0.8757165208954523,0.9281565498570905,11.49,3.74925145958979,78
airquality,111,5,0,100,SSRF,487.16844090877504,15.650730468289584,0.14934162699978515,0.8757165208954523,0.9281565498570905,11.49,3.74925145958979,78
airquality,111,5,0,100,SSRF-naive,446.09083836801415,14.923329490851373,0.1368519830000423,0.8757165208954523,0.9281565498570905,11.49,3.74925145958979,78
airquality,111,5,0,100,SSRF-rob,444.167046286765,14.868365943343457,0.22451278999983515,0.8757165208954523,0.9281565498570905,11.49,3.74925145958979,78
airquality,111,5,0,100,RF-tuned,328.8976345889713,13.586370009620014,1.7229270190000534,0.8757165208954523,0.9281565498570905,11.49,3.74925145958979,78
airquality,111,5,0,100,SSRF-tuned,340.33247918932403,13.552459527672575,1.8640152780001245,0.8757165208954523,0.9281565498570905,11.49,3.74925145958979,78
airquality,111,5,0,100,LassoRF,461.31913250043874,15.227315990008577,0.16409918099998322,0.8757165208954523,0.9281565498570905,11.49,3.74925145958979,78
airquality,111,5,0,100,GBM,375.4817314212118,14.23361734523089,0.039015000999825133,0.8757165208954523,0.9281565498570905,11.49,3.74925145958979,78
airquality,111,5,0,500,RF,246.2285044724507,13.048142553485919,0.4071925519999695,0.8906991797772575,0.9388903915677645,11.318,3.7618655862849355,78
airquality,111,5,0,500,SSRF-JS,268.995756130181,13.585121224718241,0.4071925519999695,0.8906991797772575,0.9388903915677645,11.318,3.7618655862849355,78
airquality,111,5,0,500,SSRF,275.4972967748313,13.74154077012567,0.4071925519999695,0.8906991797772575,0.9388903915677645,11.318,3.7618655862849355,78
airquality,111,5,0,500,SSRF-naive,257.7639270093549,13.328022449984338,0.4498529719999169,0.8906991797772575,0.9388903915677645,11.318,3.7618655862849355,78
airquality,111,5,0,500,SSRF-rob,255.80677772428874,13.287212023485116,0.7646778989999348,0.8906991797772575,0.9388903915677645,11.318,3.7618655862849355,78
airquality,111,5,0,500,RF-tuned,213.13810327507863,11.993217652717654,1.5072064360001605,0.8906991797772575,0.9388903915677645,11.318,3.7618655862849355,78
airquality,111,5,0,500,SSRF-tuned,213.66024336306967,12.362243381586984,2.0301604340002086,0.8906991797772575,0.9388903915677645,11.318,3.7618655862849355,78
airquality,111,5,0,500,LassoRF,271.94501891870954,12.99069165660366,0.39591011800007436,0.8906991797772575,0.9388903915677645,11.318,3.7618655862849355,78
airquality,111,5,0,500,GBM,244.64904240679297,12.84255227391914,0.2520117510000546,0.8906991797772575,0.9388903915677645,11.318,3.7618655862849355,78
airquality,111,5,1,5,RF,428.49415395298405,15.003593073593073,0.004092313000001013,0.8966242745076846,0.9374443951978326,11.8,3.7514209860618006,78
airquality,111,5,1,5,SSRF-JS,431.2645098927578,15.230034947074593,0.004092313000001013,0.8966242745076846,0.9374443951978326,11.8,3.7514209860618006,78
airquality,111,5,1,5,SSRF,433.2859800209107,15.342056107107192,0.004092313000001013,0.8966242745076846,0.9374443951978326,11.8,3.7514209860618006,78
