dgp,B,rf,ssrf,factor
dgp1,5,0.21442409039466706,0.15339594871837087,1.7529042954788303
dgp1,10,0.1390571865232544,0.1073132307225695,1.8531226639661837
dgp1,15,0.11454231645740873,0.09244492999008148,2.1270526862972874
dgp1,25,0.09707458063474926,0.08152985947705046,2.467275647290234
dgp1,40,0.08815351304230189,0.07599294578773312,3.5178793476425505
dgp1,50,0.08381599957464884,0.07302828371799892,7.091682682637493
dgp1,60,0.08173225544897252,0.07175201207691115,inf
dgp1,100,0.07799248503857427,0.06948892828763496,inf
dgp1,150,0.07561888942974616,0.06803301028368616,inf
dgp1,250,0.07389862815595444,0.06716564922336671,inf
dgp1,400,0.0727281477104877,0.06653248389704315,inf
dgp1,600,0.07186502936764627,0.0659809671797478,inf
dgp2,5,0.11706027112079759,0.08536694103358455,1.7075344758901774
dgp2,10,0.07600219853787883,0.06027444147580294,1.644152285839617
dgp2,15,0.06209365300369961,0.05130058159869874,1.7569530833139413
dgp2,25,0.051966127592036795,0.04494606022783448,1.772749768653592
dgp2,40,0.04603671479331681,0.04139672493815086,1.8409839217282342
dgp2,50,0.04366300291587726,0.03986854763848109,1.9957385462354935
dgp2,60,0.04242689277992156,0.03914193298753385,2.13690750231567
dgp2,100,0.03985782023608628,0.03758538240706359,2.7385274780600217
dgp2,150,0.03868990268148971,0.03683350715228964,3.2266774768854014
dgp2,250,0.03770970329222602,0.03625047595247896,inf
dgp2,400,0.03706851481215574,0.03582104188098259,inf
dgp2,600,0.03656864306862961,0.035467689266205145,inf
dgp3,5,0.155080691239013,0.1114619815044051,1.7451494756844437
dgp3,10,0.10078470999875268,0.0804146103742391,1.5531342713015823
dgp3,15,0.08152099683659061,0.0694830878377537,1.460450529769178
dgp3,25,0.0652850785861209,0.06032156363661443,1.2919701119080764
dgp3,40,0.056178290993620025,0.05528046913099437,1.0827889801691102
dgp3,50,0.053659521781813616,0.053787673850694225,0.9887109191337388
dgp3,60,0.05175796885438376,0.05261756755832077,0.9208863737396843
dgp3,100,0.04806967808863134,0.05052926694994191,0.7113069034378667
dgp3,150,0.04631493701525523,0.04944810470346814,0.5508040248412649
dgp3,250,0.044490131118095494,0.04852718180464037,0.37544072810289103
dgp3,400,0.04383557509718505,0.048152356558687694,0.24715360084093368
dgp3,600,0.043370047003432166,0.047934315414088206,0.17196205437017612
