dgp,n,p,B,method,mse_true,mse,coverage,isc,rt,reps
dgp1,300,10,10,GBM,0.1378679181709787,1.2715737524837234,0.952,5.874953512939477,0.095626212300003,10
dgp1,300,10,10,LassoRF,0.1452916478304426,1.2785725764946005,0.957,5.847705258472027,0.055614777800003824,10
dgp1,300,10,10,RF,0.16194231203426174,1.2917818161806585,0.951,5.862468061349818,0.02293495169999597,10
dgp1,300,10,10,RF-H,0.1448662716018547,1.2736452735448105,0.954,5.935833548423407,0.014768004300002191,10
dgp1,300,10,10,RF-tuned,0.10047272931683579,1.238883246512682,0.952,5.828816871249385,2.036635311299996,10
dgp1,300,10,10,RidgeRF,0.12738582083013017,1.2766984127733605,0.945,5.945142964531735,0.02464803539999845,10
dgp1,300,10,10,SSRF,0.12907445669737774,1.2675002463077378,0.955,5.852380744525625,0.02293495169999597,10
dgp1,300,10,10,SSRF-H,0.15082111598049724,1.2914301792825795,0.962,5.9132808433582555,0.014768004300002191,10
dgp1,300,10,10,SSRF-JS,0.1317089843911804,1.2690570253871707,0.956,5.850998184124126,0.02293495169999597,10
dgp1,300,10,10,SSRF-JS-H,0.15352206492647705,1.2891049584722412,0.961,5.9006893336591695,0.014768004300002191,10
dgp1,300,10,10,SSRF-rob,0.1440600121066217,1.2751198633343348,0.952,5.85327093094846,0.03844752800000602,10
dgp1,300,10,10,SSRF-tuned,0.09712555214737265,1.2108787239008585,0.957,5.806545108209768,2.058273691999993,10
dgp1,300,10,500,GBM,0.1378679181709787,1.2715737524837234,0.945,6.376153741598649,0.09988766019999955,10
dgp1,300,10,500,LassoRF,0.085914440712673,1.2417296748453817,0.946,6.285891806478788,0.7534651502000032,10
dgp1,300,10,500,RF,0.08600002899714265,1.2165176329286513,0.943,6.177245467491295,1.0402132804999966,10
dgp1,300,10,500,RF-H,0.0856583399516248,1.216067473646321,0.946,6.205948273962596,0.6497012404999978,10
dgp1,300,10,500,RF-tuned,0.08516573233712485,1.209018952683178,0.948,6.1738095026299495,2.911036262600001,10
dgp1,300,10,500,RidgeRF,0.08611161681674931,1.2109524175841284,0.946,6.2673308277601745,0.8587947024000002,10
dgp1,300,10,500,SSRF,0.07827222147239071,1.2153247674844045,0.945,6.193316969865278,1.0402132804999966,10
dgp1,300,10,500,SSRF-H,0.14804157076757474,1.2850964600014096,0.944,6.408159609266308,0.6497012404999978,10
dgp1,300,10,500,SSRF-JS,0.07854168892360995,1.2153632512553716,0.945,6.190295234814415,1.0402132804999966,10
dgp1,300,10,500,SSRF-JS-H,0.14360848153977707,1.2805347420020572,0.945,6.396932418530897,0.6497012404999978,10
dgp1,300,10,500,SSRF-rob,0.07947285459110745,1.2146794393781835,0.946,6.184359995423915,1.6857331905000024,10
dgp1,300,10,500,SSRF-tuned,0.08529522575717775,1.2088665632591455,0.947,6.159700315543155,4.108250762500002,10
dgp1,600,20,10,GBM,0.12662829547823945,1.37729175701354,0.946,6.472669655225513,0.24046257479999436,10
dgp1,600,20,10,LassoRF,0.14364772097387346,1.4263895038598606,0.946,6.343228961706542,0.06274791609999676,10
dgp1,600,20,10,RF,0.15800311912884435,1.4025804062671492,0.943,6.5351624887389015,0.04523893400000527,10
dgp1,600,20,10,RF-H,0.12860029185940935,1.3912727280061175,0.946,6.4409278514655615,0.02080850949998872,10
dgp1,600,20,10,RF-tuned,0.07833518843988374,1.3868484320546597,0.95,6.411423784876437,3.1735536980000036,10
dgp1,600,20,10,RidgeRF,0.15860676735229576,1.4236042674764775,0.95,6.41713346370741,0.10891584879999239,10
dgp1,600,20,10,SSRF,0.12983678332295961,1.3822026290846299,0.946,6.483749278095127,0.04523893400000527,10
dgp1,600,20,10,SSRF-H,0.14676170930583943,1.4169552118254285,0.953,6.392573665373131,0.02080850949998872,10
dgp1,600,20,10,SSRF-JS,0.1320595657894805,1.3842298992479423,0.946,6.487934537295011,0.04523893400000527,10
dgp1,600,20,10,SSRF-JS-H,0.14490272156973286,1.417079264315515,0.954,6.388506824288312,0.02080850949998872,10
dgp1,600,20,10,SSRF-rob,0.14354391548019355,1.392443221882389,0.946,6.526926329207156,0.0608018834999967,10
dgp1,600,20,10,SSRF-tuned,0.08634600635405315,1.3816143404700856,0.947,6.3727338503742725,3.2151983183000197,10
dgp1,600,20,500,GBM,0.12662829547823945,1.37729175701354,0.952,6.481166444767601,0.21481203189999287,10
dgp1,600,20,500,LassoRF,0.09200442446792735,1.3430797035494144,0.952,6.566955472150401,0.9782388106999889,10
dgp1,600,20,500,RF,0.0736409863281567,1.3480712061656503,0.952,6.554680991241065,2.482665754399997,10
dgp1,600,20,500,RF-H,0.07544511786021504,1.352992640375198,0.954,6.462558531433122,1.0539900941000042,10
dgp1,600,20,500,RF-tuned,0.06600072840694571,1.3398545726571363,0.95,6.499984687557172,4.261192405800008,10
dgp1,600,20,500,RidgeRF,0.08832640116333655,1.357588887306363,0.952,6.409737543736865,1.5371753032999949,10
dgp1,600,20,500,SSRF,0.07268507291813615,1.3424105030146762,0.952,6.537833507542818,2.482665754399997,10
dgp1,600,20,500,SSRF-H,0.1468926962854218,1.4136401360738673,0.958,6.563184766002475,1.0539900941000042,10
dgp1,600,20,500,SSRF-JS,0.07305851128874999,1.3427472418449051,0.952,6.538092713831252,2.482665754399997,10
dgp1,600,20,500,SSRF-JS-H,0.14461712342231536,1.4125651992153196,0.958,6.562747472913249,1.0539900941000042,10
dgp1,600,20,500,SSRF-rob,0.0723898340892311,1.3435687801973328,0.95,6.5484119339695654,3.175907223300007,10
dgp1,600,20,500,SSRF-tuned,0.06751022434753665,1.3419786188145295,0.95,6.5103757278707715,6.506492976900003,10
dgp1,1200,20,10,GBM,0.09413218916993266,1.3173953958646971,0.9541666666666666,6.647762449403565,0.38645270020001016,10
dgp1,1200,20,10,LassoRF,0.1385995047350297,1.3537820908221785,0.9533333333333334,6.741323686161538,0.07176316780000315,10
dgp1,1200,20,10,RF,0.13838150616541545,1.3597423648935567,0.9516666666666667,6.614078678966226,0.09980660059999305,10
dgp1,1200,20,10,RF-H,0.12608312654178877,1.34177151549857,0.9475,6.666356371820169,0.03705159379999824,10
dgp1,1200,20,10,RF-tuned,0.0661622245814639,1.286015690571909,0.9508333333333334,6.536461902469408,5.5992691606999925,10
dgp1,1200,20,10,RidgeRF,0.14400547673843933,1.3575048903376952,0.9508333333333334,6.722920718711396,0.1762774666000041,10
dgp1,1200,20,10,SSRF,0.11579887149757706,1.3277027315046634,0.95,6.588487898090963,0.09980660059999305,10
dgp1,1200,20,10,SSRF-H,0.1464743104562093,1.367964494810718,0.9483333333333334,6.728869115037906,0.03705159379999824,10
dgp1,1200,20,10,SSRF-JS,0.11707997905645785,1.3299126559652017,0.9525000000000001,6.586557775637927,0.09980660059999305,10
dgp1,1200,20,10,SSRF-JS-H,0.14615807949242732,1.3704631155289033,0.9483333333333334,6.746241581396416,0.03705159379999824,10
dgp1,1200,20,10,SSRF-rob,0.12551114440162509,1.3429458615435075,0.9516666666666667,6.597871236777376,0.12143322339999822,10
dgp1,1200,20,10,SSRF-tuned,0.0736798683798004,1.3043209376606768,0.9491666666666667,6.561678569737568,5.690824320199988,10
dgp1,1200,20,500,GBM,0.09413218916993266,1.3173953958646971,0.9475,6.7033042650272545,0.41787921779999804,10
dgp1,1200,20,500,LassoRF,0.0920895615048963,1.3036900808966045,0.9458333333333333,6.717796548965825,1.5443520076000368,10
dgp1,1200,20,500,RF,0.06271129964730145,1.2769353729967752,0.9450000000000001,6.681746018143507,5.113997663999987,10
dgp1,1200,20,500,RF-H,0.07125882518933135,1.2935090952509072,0.9475,6.711360715874369,1.723977406900002,10
dgp1,1200,20,500,RF-tuned,0.053200919953301354,1.2782178278045402,0.9475,6.654362177968091,7.702495590800021,10
dgp1,1200,20,500,RidgeRF,0.07030876811394035,1.290217709982957,0.9450000000000001,6.705501886120758,3.343814483199998,10
dgp1,1200,20,500,SSRF,0.06291276011311919,1.2788367842630302,0.9475,6.679947769763402,5.113997663999987,10
dgp1,1200,20,500,SSRF-H,0.14750447204745576,1.3714471237650003,0.9508333333333334,6.7828950540920525,1.723977406900002,10
dgp1,1200,20,500,SSRF-JS,0.0632122563092779,1.2789754972436729,0.9475,6.679448848218077,5.113997663999987,10
dgp1,1200,20,500,SSRF-JS-H,0.1475352871625341,1.3715153984128459,0.9508333333333334,6.782672826645603,1.723977406900002,10
dgp1,1200,20,500,SSRF-rob,0.06287848114567095,1.276861434204187,0.9458333333333333,6.678976040465182,5.97031072969998,10
dgp1,1200,20,500,SSRF-tuned,0.055203813311102204,1.2764909343371973,0.9483333333333334,6.662212160401687,11.71938595790001,10
dgp1,2000,24,10,GBM,0.07190803951522565,1.2952622665064468,0.953,6.33957326014646,0.9611917194000512,10
dgp1,2000,24,10,LassoRF,0.12060039315183155,1.3428067727238466,0.953,6.41397075803314,0.1410571571000218,10
dgp1,2000,24,10,RF,0.1374576228998115,1.3610254069969585,0.951,6.4345203046467905,0.27181572219997174,10
dgp1,2000,24,10,RF-H,0.11004306657386714,1.3236816524064352,0.951,6.412794557782263,0.0823757581999757,10
dgp1,2000,24,10,RF-tuned,0.0567118639131477,1.2849235205684877,0.952,6.261526339206894,14.508591984100008,10
dgp1,2000,24,10,RidgeRF,0.1302331906199456,1.3542886015995896,0.953,6.402828079923629,0.43283086059999504,10
