experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true,chosen
anchor,dgp1,300,10,10,5,0,RF,1.4033858828993677,0.16854139014949635,
anchor,dgp1,300,10,10,5,0,tree,1.3697039631323527,0.13441200915403775,
anchor,dgp1,300,10,10,5,0,depth 1,1.3666646996345098,0.13329259068354496,
anchor,dgp1,300,10,10,5,0,depth 2,1.3682673890237262,0.1350632765538139,
anchor,dgp1,300,10,10,5,0,depth 3,1.3747146567704451,0.14134858625671856,
anchor,dgp1,300,10,10,5,0,selected,1.3666646996345098,0.13329259068354496,depth 1
anchor,dgp1,300,10,10,5,0,oracle depth,,0.13329259068354496,
anchor,dgp1,300,10,10,5,1,RF,1.492714921859666,0.1641578810571403,
anchor,dgp1,300,10,10,5,1,tree,1.4568148331600377,0.12543334798570135,
anchor,dgp1,300,10,10,5,1,depth 1,1.4584304990404462,0.12832266249957366,
anchor,dgp1,300,10,10,5,1,depth 2,1.4689030516765833,0.13777684028989307,
anchor,dgp1,300,10,10,5,1,depth 3,1.4680971663558442,0.14005656877329792,
anchor,dgp1,300,10,10,5,1,selected,1.4568148331600377,0.12543334798570135,tree
anchor,dgp1,300,10,10,5,1,oracle depth,,0.12543334798570135,
anchor,dgp1,300,10,10,5,2,RF,1.49206734594464,0.1955790867269638,
anchor,dgp1,300,10,10,5,2,tree,1.4516388621648442,0.1544856745537548,
anchor,dgp1,300,10,10,5,2,depth 1,1.449348216061484,0.15267460259594123,
anchor,dgp1,300,10,10,5,2,depth 2,1.453391634094645,0.15130009549596696,
anchor,dgp1,300,10,10,5,2,depth 3,1.452127330823072,0.15590420572081334,
anchor,dgp1,300,10,10,5,2,selected,1.4516388621648442,0.1544856745537548,tree
anchor,dgp1,300,10,10,5,2,oracle depth,,0.15130009549596696,
anchor,dgp1,300,10,10,5,3,RF,1.5112249472487784,0.14256411004006306,
anchor,dgp1,300,10,10,5,3,tree,1.4708974778826585,0.11424581505746902,
anchor,dgp1,300,10,10,5,3,depth 1,1.4678570288268626,0.10813789753111099,
anchor,dgp1,300,10,10,5,3,depth 2,1.4736208551763292,0.11044692941153615,
anchor,dgp1,300,10,10,5,3,depth 3,1.4767894809323667,0.11290840429524208,
anchor,dgp1,300,10,10,5,3,selected,1.4678570288268626,0.10813789753111099,depth 1
anchor,dgp1,300,10,10,5,3,oracle depth,,0.10813789753111099,
anchor,dgp1,300,10,10,5,4,RF,1.2952149772766015,0.1621896407349965,
anchor,dgp1,300,10,10,5,4,tree,1.2744831429855517,0.1382820924037196,
anchor,dgp1,300,10,10,5,4,depth 1,1.2711378643836588,0.13533816412138944,
anchor,dgp1,300,10,10,5,4,depth 2,1.2761407689471478,0.1395637830173832,
anchor,dgp1,300,10,10,5,4,depth 3,1.2762580993421528,0.13971138916927855,
anchor,dgp1,300,10,10,5,4,selected,1.2744831429855517,0.1382820924037196,tree
anchor,dgp1,300,10,10,5,4,oracle depth,,0.13533816412138944,
