experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true,runtime,lam_tree,lam_cv,lam_ij,lam_oracle,lam_local_mean
calibration,dgp1,300,10,10,5,0,RF,1.507841004990359,0.25816198222866593,0.013323753999884502,0.7463672286579778,0.1041579436754054,0.09214856832927398,0.36,0.11957272861415473
calibration,dgp1,300,10,10,5,0,SSRF-JS,1.448564977862669,0.1939850070880315,0.013323753999884502,0.7463672286579778,0.1041579436754054,0.09214856832927398,0.36,0.11957272861415473
calibration,dgp1,300,10,10,5,0,Cal-CV,1.4385511442425105,0.1692502243756328,0.0706055099999503,0.7463672286579778,0.1041579436754054,0.09214856832927398,0.36,0.11957272861415473
calibration,dgp1,300,10,10,5,0,Cal-CV-local,1.4377950907845198,0.1693714420407108,0.0706055099999503,0.7463672286579778,0.1041579436754054,0.09214856832927398,0.36,0.11957272861415473
calibration,dgp1,300,10,10,5,0,Cal-IJ,1.4403848452329924,0.17082088041787252,0.017610532999924544,0.7463672286579778,0.1041579436754054,0.09214856832927398,0.36,0.11957272861415473
calibration,dgp1,300,10,10,5,1,RF,1.6677787371771124,0.13669804602881724,0.011796124000056807,0.7729646029880963,0.47419845041757197,0.04817219591222074,0.59,0.5598376594028736
calibration,dgp1,300,10,10,5,1,SSRF-JS,1.6441160155402652,0.10113610177395117,0.011796124000056807,0.7729646029880963,0.47419845041757197,0.04817219591222074,0.59,0.5598376594028736
calibration,dgp1,300,10,10,5,1,Cal-CV,1.6571949099185392,0.09642611385801972,0.06735944000001837,0.7729646029880963,0.47419845041757197,0.04817219591222074,0.59,0.5598376594028736
calibration,dgp1,300,10,10,5,1,Cal-CV-local,1.6507914679416098,0.09679825578157553,0.06735944000001837,0.7729646029880963,0.47419845041757197,0.04817219591222074,0.59,0.5598376594028736
calibration,dgp1,300,10,10,5,1,Cal-IJ,1.7541996897887326,0.16937635804043993,0.016319236000072124,0.7729646029880963,0.47419845041757197,0.04817219591222074,0.59,0.5598376594028736
calibration,dgp1,300,10,10,5,2,RF,1.4327832606591504,0.14469883742902448,0.012166627999931734,0.7903347698520233,0.22846768596615086,0.0,0.5700000000000001,0.2641508062562532
calibration,dgp1,300,10,10,5,2,SSRF-JS,1.4114544834700373,0.12573908544857434,0.012166627999931734,0.7903347698520233,0.22846768596615086,0.0,0.5700000000000001,0.2641508062562532
calibration,dgp1,300,10,10,5,2,Cal-CV,1.416552986309552,0.13544208323061577,0.07069454499992389,0.7903347698520233,0.22846768596615086,0.0,0.5700000000000001,0.2641508062562532
calibration,dgp1,300,10,10,5,2,Cal-CV-local,1.4187073255264362,0.13510795840769876,0.07069454499992389,0.7903347698520233,0.22846768596615086,0.0,0.5700000000000001,0.2641508062562532
calibration,dgp1,300,10,10,5,2,Cal-IJ,1.4439507707279697,0.16490488032964412,0.016556178999962867,0.7903347698520233,0.22846768596615086,0.0,0.5700000000000001,0.2641508062562532
