experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true
equivalence,dgp1,600,10,5,5,0,RF,1.3722128542710077,0.20283314809820907
equivalence,dgp1,600,10,5,5,0,SSRF-JS,1.3113779119125204,0.1474505281437103
equivalence,dgp1,600,10,10,5,0,RF,1.3019773873027864,0.12373620191188513
equivalence,dgp1,600,10,10,5,0,SSRF-JS,1.2646513715588599,0.09491121729463288
equivalence,dgp1,600,10,15,5,0,RF,1.2770997739043997,0.10603386881010442
equivalence,dgp1,600,10,15,5,0,SSRF-JS,1.2511101222667071,0.08703942690717768
equivalence,dgp1,600,10,25,5,0,RF,1.2623702238104797,0.08922871885113176
equivalence,dgp1,600,10,25,5,0,SSRF-JS,1.2433184702412692,0.07742121967869595
equivalence,dgp1,600,10,40,5,0,RF,1.2620410907461799,0.0874252661369725
equivalence,dgp1,600,10,40,5,0,SSRF-JS,1.2450302196924319,0.07776593297465341
equivalence,dgp1,600,10,50,5,0,RF,1.2561238767218008,0.08487919072710612
equivalence,dgp1,600,10,50,5,0,SSRF-JS,1.2414942502316106,0.07697933067866745
equivalence,dgp1,600,10,60,5,0,RF,1.252472450883008,0.08092342032551739
equivalence,dgp1,600,10,60,5,0,SSRF-JS,1.238807166182785,0.07411630971181328
equivalence,dgp1,600,10,100,5,0,RF,1.2506185552982279,0.08153822756601165
equivalence,dgp1,600,10,100,5,0,SSRF-JS,1.2362825233943193,0.07378491247447438
equivalence,dgp1,600,10,150,5,0,RF,1.2434752887016254,0.07711385116672263
equivalence,dgp1,600,10,150,5,0,SSRF-JS,1.231493853327499,0.07101682322982501
equivalence,dgp1,600,10,250,5,0,RF,1.2448008903829368,0.07798646252084442
equivalence,dgp1,600,10,250,5,0,SSRF-JS,1.2336766124833356,0.07269224640331867
equivalence,dgp1,600,10,400,5,0,RF,1.2442691015199725,0.07531130199265698
equivalence,dgp1,600,10,400,5,0,SSRF-JS,1.2339374464090085,0.07123728146951849
equivalence,dgp1,600,10,600,5,0,RF,1.2442458143307733,0.07438883470774339
equivalence,dgp1,600,10,600,5,0,SSRF-JS,1.2340786431579005,0.07071077727455524
equivalence,dgp1,600,10,5,5,1,RF,1.5370261200290425,0.17053971143679655
equivalence,dgp1,600,10,5,5,1,SSRF-JS,1.4839924967425195,0.11414198992484911
equivalence,dgp1,600,10,10,5,1,RF,1.498663963021196,0.11121453668173899
equivalence,dgp1,600,10,10,5,1,SSRF-JS,1.4681999574168259,0.08188730481440676
equivalence,dgp1,600,10,15,5,1,RF,1.4866559694405825,0.08719623868044325
equivalence,dgp1,600,10,15,5,1,SSRF-JS,1.4650063855007538,0.06919194217913478
equivalence,dgp1,600,10,25,5,1,RF,1.4700773727576975,0.07544815563976735
equivalence,dgp1,600,10,25,5,1,SSRF-JS,1.4586028910924789,0.06683541295280651
equivalence,dgp1,600,10,40,5,1,RF,1.459224008920078,0.0675228679850299
equivalence,dgp1,600,10,40,5,1,SSRF-JS,1.451073659898412,0.061647383824342
equivalence,dgp1,600,10,50,5,1,RF,1.4540904299026403,0.06293832239043874
equivalence,dgp1,600,10,50,5,1,SSRF-JS,1.447619712738456,0.058315482684147754
equivalence,dgp1,600,10,60,5,1,RF,1.4572590866713777,0.061181321228716265
equivalence,dgp1,600,10,60,5,1,SSRF-JS,1.4510754652392213,0.05786124888732752
equivalence,dgp1,600,10,100,5,1,RF,1.4526823401529334,0.05917858149861693
equivalence,dgp1,600,10,100,5,1,SSRF-JS,1.4479587989445166,0.05701192984839175
equivalence,dgp1,600,10,150,5,1,RF,1.449909652874427,0.056122030298352193
equivalence,dgp1,600,10,150,5,1,SSRF-JS,1.4467991149004762,0.05556408279763248
equivalence,dgp1,600,10,250,5,1,RF,1.4477955991216853,0.055290055163983186
equivalence,dgp1,600,10,250,5,1,SSRF-JS,1.4453223115460823,0.0550733923223423
equivalence,dgp1,600,10,400,5,1,RF,1.4463146131348743,0.05488956716611148
equivalence,dgp1,600,10,400,5,1,SSRF-JS,1.4444339347027457,0.05489555702776394
equivalence,dgp1,600,10,600,5,1,RF,1.4482330705956046,0.05447068819068716
equivalence,dgp1,600,10,600,5,1,SSRF-JS,1.4459330018994363,0.05465669616977834
equivalence,dgp1,600,10,5,5,2,RF,1.575465139351898,0.26768221020532157
equivalence,dgp1,600,10,5,5,2,SSRF-JS,1.5087830239326,0.20489476996615077
equivalence,dgp1,600,10,10,5,2,RF,1.4583218735825534,0.15638804129385359
equivalence,dgp1,600,10,10,5,2,SSRF-JS,1.429154742416802,0.12950539420647728
equivalence,dgp1,600,10,15,5,2,RF,1.436255811902977,0.1327920869025518
equivalence,dgp1,600,10,15,5,2,SSRF-JS,1.415541563186738,0.11448603950161576
equivalence,dgp1,600,10,25,5,2,RF,1.4351662071437017,0.11403020860422122
equivalence,dgp1,600,10,25,5,2,SSRF-JS,1.416537615941421,0.10148172387171266
equivalence,dgp1,600,10,40,5,2,RF,1.4184375115497407,0.09438293345647579
equivalence,dgp1,600,10,40,5,2,SSRF-JS,1.4053926951061864,0.08784611383505728
equivalence,dgp1,600,10,50,5,2,RF,1.4158948235013455,0.0896445987843618
equivalence,dgp1,600,10,50,5,2,SSRF-JS,1.403609325999414,0.08428115943322957
equivalence,dgp1,600,10,60,5,2,RF,1.415481612743241,0.08581920903723567
equivalence,dgp1,600,10,60,5,2,SSRF-JS,1.4039205724052406,0.08185976684760504
equivalence,dgp1,600,10,100,5,2,RF,1.404683896382991,0.07741688831240287
equivalence,dgp1,600,10,100,5,2,SSRF-JS,1.396765133665486,0.07674797638078408
equivalence,dgp1,600,10,150,5,2,RF,1.4064479079313976,0.07651718647711017
equivalence,dgp1,600,10,150,5,2,SSRF-JS,1.3985042626218176,0.07624895074401929
equivalence,dgp1,600,10,250,5,2,RF,1.40548586512836,0.07454627760185491
equivalence,dgp1,600,10,250,5,2,SSRF-JS,1.3981757260377812,0.07519399515104606
equivalence,dgp1,600,10,400,5,2,RF,1.4048670886367896,0.07439680633042854
equivalence,dgp1,600,10,400,5,2,SSRF-JS,1.3979636344146658,0.07534695808382082
equivalence,dgp1,600,10,600,5,2,RF,1.406460594389028,0.07470304468116236
equivalence,dgp1,600,10,600,5,2,SSRF-JS,1.3991760450064306,0.07556101452341187
equivalence,dgp1,600,10,5,5,3,RF,1.6125696309400603,0.17592722295664598
equivalence,dgp1,600,10,5,5,3,SSRF-JS,1.5630169698799874,0.1387742581604879
equivalence,dgp1,600,10,10,5,3,RF,1.5400958606804436,0.11686431636774047
equivalence,dgp1,600,10,10,5,3,SSRF-JS,1.5126553990377136,0.0977459241699236
equivalence,dgp1,600,10,15,5,3,RF,1.5153046676135198,0.09265624119786063
equivalence,dgp1,600,10,15,5,3,SSRF-JS,1.493487493629937,0.07915052295192446
equivalence,dgp1,600,10,25,5,3,RF,1.4890401533874926,0.07967180205891676
equivalence,dgp1,600,10,25,5,3,SSRF-JS,1.4748395338470728,0.07068252864037705
equivalence,dgp1,600,10,40,5,3,RF,1.4739610706437423,0.071051969836096
equivalence,dgp1,600,10,40,5,3,SSRF-JS,1.464503357263648,0.06568783802279612
equivalence,dgp1,600,10,50,5,3,RF,1.472023365980884,0.06639329572396006
equivalence,dgp1,600,10,50,5,3,SSRF-JS,1.4628500855583855,0.06210701658288542
equivalence,dgp1,600,10,60,5,3,RF,1.4695760654800836,0.06386194194364408
equivalence,dgp1,600,10,60,5,3,SSRF-JS,1.4608244486735076,0.06001517731557821
equivalence,dgp1,600,10,100,5,3,RF,1.463168739435169,0.06033638426784218
equivalence,dgp1,600,10,100,5,3,SSRF-JS,1.4562848500045062,0.05764511909482393
equivalence,dgp1,600,10,150,5,3,RF,1.4580080303797724,0.05822336119729153
equivalence,dgp1,600,10,150,5,3,SSRF-JS,1.4528776972419097,0.05673944119337548
equivalence,dgp1,600,10,250,5,3,RF,1.4507908722026683,0.056209495010548276
equivalence,dgp1,600,10,250,5,3,SSRF-JS,1.4473346076982034,0.05545093503411757
equivalence,dgp1,600,10,400,5,3,RF,1.4497339410530983,0.053919457293247444
equivalence,dgp1,600,10,400,5,3,SSRF-JS,1.446853084577065,0.05404561640411078
equivalence,dgp1,600,10,600,5,3,RF,1.4487584481364437,0.05276069540974019
equivalence,dgp1,600,10,600,5,3,SSRF-JS,1.446049113838241,0.05302068077331558
equivalence,dgp1,600,10,5,5,4,RF,1.5423781637046798,0.21055019848561393
equivalence,dgp1,600,10,5,5,4,SSRF-JS,1.4819559350262121,0.15806141106338073
equivalence,dgp1,600,10,10,5,4,RF,1.4881012164129779,0.1341336411219759
equivalence,dgp1,600,10,10,5,4,SSRF-JS,1.4536225950693418,0.11027494101373285
equivalence,dgp1,600,10,15,5,4,RF,1.453554104399905,0.11606536309392593
equivalence,dgp1,600,10,15,5,4,SSRF-JS,1.4295944207758173,0.09985798129728149
equivalence,dgp1,600,10,25,5,4,RF,1.438986868388194,0.095518904954671
equivalence,dgp1,600,10,25,5,4,SSRF-JS,1.4208378846422798,0.08660788503989746
equivalence,dgp1,600,10,40,5,4,RF,1.4279333537181749,0.09150344153751759
equivalence,dgp1,600,10,40,5,4,SSRF-JS,1.414616269903082,0.0867960032142057
equivalence,dgp1,600,10,50,5,4,RF,1.4230166436990122,0.08618844230066276
equivalence,dgp1,600,10,50,5,4,SSRF-JS,1.4104057064287472,0.08241953618910708
equivalence,dgp1,600,10,60,5,4,RF,1.4215111068184636,0.08365476458865453
equivalence,dgp1,600,10,60,5,4,SSRF-JS,1.4091211878495367,0.08024682088605015
equivalence,dgp1,600,10,100,5,4,RF,1.4163360529503155,0.07808399053658412
equivalence,dgp1,600,10,100,5,4,SSRF-JS,1.4059808841962977,0.07686354891488976
equivalence,dgp1,600,10,150,5,4,RF,1.4110571617103673,0.07339039639016431
equivalence,dgp1,600,10,150,5,4,SSRF-JS,1.4022569166704846,0.07378692657699897
equivalence,dgp1,600,10,250,5,4,RF,1.4066099917090973,0.07453045167157199
equivalence,dgp1,600,10,250,5,4,SSRF-JS,1.3992077667506406,0.07521673850933287
equivalence,dgp1,600,10,400,5,4,RF,1.4060636470944503,0.07342967539140088
equivalence,dgp1,600,10,400,5,4,SSRF-JS,1.3991096115488126,0.07472331463782646
equivalence,dgp1,600,10,600,5,4,RF,1.4031397316116696,0.07171099741010183
equivalence,dgp1,600,10,600,5,4,SSRF-JS,1.3968513156688216,0.07338491167570314
equivalence,dgp1,600,10,5,5,5,RF,1.5075100592191428,0.24564163532464087
equivalence,dgp1,600,10,5,5,5,SSRF-JS,1.428457421107458,0.1650301035734117
equivalence,dgp1,600,10,10,5,5,RF,1.4019727563833946,0.16320725555730778
equivalence,dgp1,600,10,10,5,5,SSRF-JS,1.3697793045686668,0.12416038851927326
equivalence,dgp1,600,10,15,5,5,RF,1.3789051030809194,0.13652730895033238
equivalence,dgp1,600,10,15,5,5,SSRF-JS,1.358364402040288,0.11047018368576397
equivalence,dgp1,600,10,25,5,5,RF,1.3780780552241814,0.12153892692852443
equivalence,dgp1,600,10,25,5,5,SSRF-JS,1.3587681703051175,0.10032894279215056
equivalence,dgp1,600,10,40,5,5,RF,1.3745145339712175,0.11201933879785266
equivalence,dgp1,600,10,40,5,5,SSRF-JS,1.3572528916401805,0.09422930621189549
equivalence,dgp1,600,10,50,5,5,RF,1.3694239527910883,0.10544351731312024
equivalence,dgp1,600,10,50,5,5,SSRF-JS,1.3541919161610407,0.09023315575885525
equivalence,dgp1,600,10,60,5,5,RF,1.3793075322020565,0.11142986242399917
equivalence,dgp1,600,10,60,5,5,SSRF-JS,1.3597516496404354,0.09329783905869518
equivalence,dgp1,600,10,100,5,5,RF,1.3655370032114498,0.10506282461644272
equivalence,dgp1,600,10,100,5,5,SSRF-JS,1.3519422547755773,0.09090802248505539
equivalence,dgp1,600,10,150,5,5,RF,1.3653110422046115,0.10109015350102464
equivalence,dgp1,600,10,150,5,5,SSRF-JS,1.3517105777590892,0.08756656781064864
equivalence,dgp1,600,10,250,5,5,RF,1.3727144566733644,0.1027782971114774
equivalence,dgp1,600,10,250,5,5,SSRF-JS,1.357635494298194,0.08929819518166968
equivalence,dgp1,600,10,400,5,5,RF,1.367951382678452,0.10109539135080882
equivalence,dgp1,600,10,400,5,5,SSRF-JS,1.3533663588844422,0.08733312919453903
equivalence,dgp1,600,10,600,5,5,RF,1.3627435055146568,0.09743369794830437
equivalence,dgp1,600,10,600,5,5,SSRF-JS,1.3498828964571141,0.0851240332045065
equivalence,dgp1,600,10,5,5,6,RF,1.370550061558634,0.2310916277282473
equivalence,dgp1,600,10,5,5,6,SSRF-JS,1.3129240860765734,0.17853157560819552
equivalence,dgp1,600,10,10,5,6,RF,1.3004123467285962,0.16080904981145389
equivalence,dgp1,600,10,10,5,6,SSRF-JS,1.2672534720046658,0.1327146289353892
equivalence,dgp1,600,10,15,5,6,RF,1.2657968310682874,0.13347709717550776
equivalence,dgp1,600,10,15,5,6,SSRF-JS,1.245090098285981,0.11640592928170171
equivalence,dgp1,600,10,25,5,6,RF,1.2545008190474116,0.11015773874210015
equivalence,dgp1,600,10,25,5,6,SSRF-JS,1.2387437892519213,0.10069933498147368
equivalence,dgp1,600,10,40,5,6,RF,1.2517709514089879,0.10421491307511113
equivalence,dgp1,600,10,40,5,6,SSRF-JS,1.2369912764004594,0.09606675610719782
equivalence,dgp1,600,10,50,5,6,RF,1.241467357075796,0.09965369262090178
equivalence,dgp1,600,10,50,5,6,SSRF-JS,1.2296366431937136,0.09320140201205064
equivalence,dgp1,600,10,60,5,6,RF,1.240686717464034,0.0979611781832895
equivalence,dgp1,600,10,60,5,6,SSRF-JS,1.2297325144152957,0.09266484956152247
equivalence,dgp1,600,10,100,5,6,RF,1.240960845057669,0.09653195656381063
equivalence,dgp1,600,10,100,5,6,SSRF-JS,1.230766804748802,0.09245671270838413
equivalence,dgp1,600,10,150,5,6,RF,1.233460321670949,0.09086754268181797
equivalence,dgp1,600,10,150,5,6,SSRF-JS,1.2253477833335158,0.08844965443269281
equivalence,dgp1,600,10,250,5,6,RF,1.2352843685887356,0.09032143288852668
equivalence,dgp1,600,10,250,5,6,SSRF-JS,1.2273647637858043,0.08861755000013839
equivalence,dgp1,600,10,400,5,6,RF,1.2315806041881383,0.09016981968246428
equivalence,dgp1,600,10,400,5,6,SSRF-JS,1.2251098927533424,0.08900517509143524
equivalence,dgp1,600,10,600,5,6,RF,1.2339108154456342,0.09036658137970094
equivalence,dgp1,600,10,600,5,6,SSRF-JS,1.2270739391501584,0.08928252637166566
equivalence,dgp1,600,10,5,5,7,RF,1.3953964670872174,0.24863091558821934
equivalence,dgp1,600,10,5,5,7,SSRF-JS,1.3268850508246732,0.1863911275111334
equivalence,dgp1,600,10,10,5,7,RF,1.314005106243997,0.17813378281570125
equivalence,dgp1,600,10,10,5,7,SSRF-JS,1.2772691090265809,0.14519404959189164
equivalence,dgp1,600,10,15,5,7,RF,1.2743326679700504,0.13867772374356427
equivalence,dgp1,600,10,15,5,7,SSRF-JS,1.2505022229249492,0.11855860632041146
equivalence,dgp1,600,10,25,5,7,RF,1.2555461653416722,0.11740869526430178
equivalence,dgp1,600,10,25,5,7,SSRF-JS,1.2374751630496195,0.10356138855864523
equivalence,dgp1,600,10,40,5,7,RF,1.2461419324284173,0.10641954069691863
equivalence,dgp1,600,10,40,5,7,SSRF-JS,1.2335497326997322,0.09867742464912484
equivalence,dgp1,600,10,50,5,7,RF,1.238950891328934,0.09990490027259061
equivalence,dgp1,600,10,50,5,7,SSRF-JS,1.2280375455547925,0.09368344660986876
equivalence,dgp1,600,10,60,5,7,RF,1.2371745006879418,0.0943663657487282
equivalence,dgp1,600,10,60,5,7,SSRF-JS,1.2268052509977694,0.08962710069366758
equivalence,dgp1,600,10,100,5,7,RF,1.238165011469909,0.09072854099677341
equivalence,dgp1,600,10,100,5,7,SSRF-JS,1.2287699302477306,0.08790061928200885
equivalence,dgp1,600,10,150,5,7,RF,1.2358259683946282,0.08812157532884843
equivalence,dgp1,600,10,150,5,7,SSRF-JS,1.226956743832511,0.08593394995436794
equivalence,dgp1,600,10,250,5,7,RF,1.2320211959017542,0.08822345099746444
equivalence,dgp1,600,10,250,5,7,SSRF-JS,1.2238598620149292,0.08595988941111977
equivalence,dgp1,600,10,400,5,7,RF,1.2300864408108818,0.08740336808551644
equivalence,dgp1,600,10,400,5,7,SSRF-JS,1.2233077733604267,0.08622078180227108
equivalence,dgp1,600,10,600,5,7,RF,1.2307520843215283,0.08823262103137736
equivalence,dgp1,600,10,600,5,7,SSRF-JS,1.2241726308533931,0.08725319650282055
equivalence,dgp1,600,10,5,5,8,RF,1.197961873430965,0.1956005861012039
equivalence,dgp1,600,10,5,5,8,SSRF-JS,1.142540792563498,0.13942244098179632
equivalence,dgp1,600,10,10,5,8,RF,1.1456260283299033,0.12825134918403547
equivalence,dgp1,600,10,10,5,8,SSRF-JS,1.1087109310564411,0.09365912539650943
equivalence,dgp1,600,10,15,5,8,RF,1.1198074317602114,0.09653206845248656
equivalence,dgp1,600,10,15,5,8,SSRF-JS,1.0922447478653161,0.07234225038881512
equivalence,dgp1,600,10,25,5,8,RF,1.1114179105029953,0.0838258779877274
equivalence,dgp1,600,10,25,5,8,SSRF-JS,1.0842701170057947,0.06090330964815189
equivalence,dgp1,600,10,40,5,8,RF,1.1056752267857042,0.07275307285604304
equivalence,dgp1,600,10,40,5,8,SSRF-JS,1.0808416574615813,0.0529508660777297
equivalence,dgp1,600,10,50,5,8,RF,1.0961754480439347,0.06852624976081147
equivalence,dgp1,600,10,50,5,8,SSRF-JS,1.0735030384923587,0.05002271991545937
equivalence,dgp1,600,10,60,5,8,RF,1.0979726465144997,0.06838549042227254
equivalence,dgp1,600,10,60,5,8,SSRF-JS,1.0742714407827205,0.049192318364702566
equivalence,dgp1,600,10,100,5,8,RF,1.0911124828012266,0.06409766207757837
equivalence,dgp1,600,10,100,5,8,SSRF-JS,1.0684497394877017,0.045522696101398426
equivalence,dgp1,600,10,150,5,8,RF,1.0890251748088662,0.06179132237149577
equivalence,dgp1,600,10,150,5,8,SSRF-JS,1.0670343881605893,0.04392254806764913
equivalence,dgp1,600,10,250,5,8,RF,1.0885797485972235,0.06059455454919183
equivalence,dgp1,600,10,250,5,8,SSRF-JS,1.0666036612746836,0.04280086315270197
equivalence,dgp1,600,10,400,5,8,RF,1.0882509924624553,0.06002159793855659
equivalence,dgp1,600,10,400,5,8,SSRF-JS,1.0667558664830907,0.04276623016975166
equivalence,dgp1,600,10,600,5,8,RF,1.088906098921024,0.05998137407653409
equivalence,dgp1,600,10,600,5,8,SSRF-JS,1.0672635155346477,0.04267925445416664
equivalence,dgp1,600,10,5,5,9,RF,1.2569678912126336,0.206527644335426
equivalence,dgp1,600,10,5,5,9,SSRF-JS,1.1866909325765653,0.14387342077400944
equivalence,dgp1,600,10,10,5,9,RF,1.1264897416541517,0.11273499104401845
equivalence,dgp1,600,10,10,5,9,SSRF-JS,1.0910146454530487,0.0782217881437295
equivalence,dgp1,600,10,15,5,9,RF,1.1087465474907086,0.09371643251087455
equivalence,dgp1,600,10,15,5,9,SSRF-JS,1.0808952372230736,0.06722708105771602
equivalence,dgp1,600,10,25,5,9,RF,1.0950459529056,0.07677016596399325
equivalence,dgp1,600,10,25,5,9,SSRF-JS,1.0711377692764346,0.05500456090492361
equivalence,dgp1,600,10,40,5,9,RF,1.1041721634533204,0.07364456657408501
