experiment,dgp,n,p,B,min_leaf,rep,snr,method,mse,mae,mse_true,coverage,interval_score,interval_width,dm_stat,dm_p,runtime,lam_eb,lam_js,leaves,n_eff,sigma2,tau2,tuned_leaf,tuned_mtry
extended,dgp1,1200,20,25,5,0,0.1387398308052676,RF,1.3390460163994458,0.8544747303641059,0.08933196792029437,0.948,6.544873510035786,4.607536364714362,0.13403571173741885,0.8934013321093127,0.16361062099986157,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,SSRF,1.3380650212831233,0.8503796088476188,0.07967715077130788,0.944,6.562540273142555,4.626931745361036,-0.3019053844104709,0.7627870283830752,0.16361062099986157,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,SSRF-JS,1.3383245851641148,0.8507657876042509,0.08020116730009075,0.942,6.562439623912257,4.574724612258669,,,0.16361062099986157,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,RF-H,1.3758036302019923,0.8488907369474658,0.08463259340856474,0.936,6.74305928933655,4.603240206581494,1.832738892291218,0.06713890168422754,0.05955572499988193,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,SSRF-H,1.4455457038293065,0.8690142349082159,0.1445270055348442,0.94,6.80182943511069,4.76640619792114,3.8911456014856607,0.00010638284594112235,0.05955572499988193,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,SSRF-JS-H,1.4446769800246584,0.868171894515347,0.14411508178547683,0.942,6.7943003491137075,4.773606467353175,3.8588694728336215,0.00012122093846536925,0.05955572499988193,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,SSRF-rob,1.3376618724018778,0.8522154003342796,0.08351532220165703,0.94,6.561239275648206,4.535604968384135,-0.2637000022634473,0.792065476840044,0.18400661400028184,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,RidgeRF,1.3595816672933994,0.8506496167020888,0.0901838673546739,0.936,6.723912319096887,4.5205729917391215,0.9003686779516035,0.3681410732258554,0.11413435199938249,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,LassoRF,1.4074244568656678,0.8663989287311675,0.10153791114619622,0.948,6.813014338579896,4.723924202670439,2.8978476540555462,0.0038394190540625957,0.06099275700034923,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,GBM,1.3535179270221973,0.8470326134778254,0.08554302607307657,0.928,6.699389793508457,4.429408308949323,0.6959928196700289,0.4865952099447851,0.1206884210005228,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,RF-tuned,1.3345140062298497,0.841867765154524,0.04748751044442362,0.936,6.6157089454551885,4.497691498397487,-0.21448905085498277,0.8302094775609374,3.586121564999303,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,SSRF-tuned,1.3269587513467704,0.8362167979415629,0.048727241200246324,0.95,6.680294993585935,4.683460318613582,-0.7399123377357526,0.45952702755417135,3.7257535989992903,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,LLF,1.3334655457285602,0.8397455223831997,0.05661482124020738,0.95,6.6365939886479595,4.624704731144843,-0.30594226411267567,0.7597123482203774,2.83555773199987,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,BART,1.3313112658403934,0.848069937476414,0.07360981704747123,0.948,6.543793360109755,4.630496996959802,-0.3470802994737207,0.7286040945331761,38.898841559000175,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,0,0.1387398308052676,NGBoost,1.383497561806419,0.8531955188835623,0.09651535932013655,0.934,6.868156438675476,4.549580531839057,1.63405766113936,0.10256181253080388,2.961059252999803,0.8486637331453285,0.8476708741764295,191.84,3.446910938000465,0.48925037665981863,0.7835066325440381,40,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,RF,1.377996617308442,0.8283167221742176,0.07109475651591164,0.962,5.627764189381927,4.868619467542826,1.737817175463677,0.08255118313094513,0.1544788380006139,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,SSRF,1.3668156957397781,0.8235352136193044,0.06318292784848856,0.964,5.605285074200325,4.84227356076736,-0.9368260708539571,0.3490744473442254,0.1544788380006139,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,SSRF-JS,1.3675610419916857,0.8238148366397748,0.06398918524395125,0.964,5.606525622674831,4.858016913266126,,,0.1544788380006139,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,RF-H,1.3680304907158056,0.8223270369234209,0.06240637484280023,0.966,5.502870618014853,4.807427896948745,0.02528812568290334,0.979830195517397,0.05603456599965284,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,SSRF-H,1.4043461152921017,0.8392933405030294,0.11473445889525223,0.96,5.527379042249659,4.683428299242254,1.244601594885213,0.21357013487717258,0.05603456599965284,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,SSRF-JS-H,1.4038641599310708,0.8391004126180114,0.11397940010024207,0.96,5.527873119691486,4.673078242970543,1.2325680724886803,0.21802694301636494,0.05603456599965284,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,SSRF-rob,1.3712253860989263,0.8254791561844518,0.06619860390400165,0.962,5.6123239815579415,4.850563978901455,1.4056229867486998,0.16014702421881735,0.17522390100020857,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,RidgeRF,1.4028589241331741,0.8331913929673747,0.07726826820550861,0.976,5.781506900015404,5.190655269561555,1.6053294756224064,0.10873735811959567,0.09897915700003068,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,LassoRF,1.4413471997043592,0.861557696190417,0.1275017784197137,0.97,5.800395680546588,5.0298618106211,2.664703456587245,0.007829823049931992,0.06118859400066867,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,GBM,1.3710837705235555,0.8327393322369442,0.07145431136850403,0.958,5.4479302399912175,4.601222679496577,0.20077201130572575,0.8409177158827436,0.17370360200038704,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,RF-tuned,1.3320807679407232,0.8100512309749002,0.03345110407826665,0.966,5.417989054421944,4.743547123938631,-2.2358745861578657,0.025580188554244612,3.461952743999973,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,SSRF-tuned,1.3468603396756782,0.8174665689497774,0.0415178544583599,0.96,5.438850081997804,4.662395551452711,-1.3359276205197592,0.18187717558099795,3.5803197010000076,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,LLF,1.357119839314744,0.8209902412122918,0.045489939109288814,0.96,5.439259974481522,4.666051926841414,-0.7857050492552405,0.43222661230044385,2.6693263719998868,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,BART,1.368614160196223,0.8312349296072645,0.055229403972805756,0.964,5.4833076096326625,4.770675613354599,0.0639435632103414,0.9490279568845299,31.047143498999503,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,1,0.14559612702119848,NGBoost,1.4027451989020314,0.8328867917851671,0.07734326700648352,0.962,5.641374731671886,4.848534457063747,1.69001251910404,0.09133754396342728,1.4573295349991895,0.8542477008399731,0.8532927847874082,190.96,3.4601882050310104,0.48449329965652027,0.8071086101256596,80,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,RF,1.1615015646813414,0.7991438467780185,0.10459240703895482,0.968,5.326631166212972,4.5928581171478395,2.7271409799209403,0.006500507925427477,0.169484640000519,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,SSRF,1.1483215624777647,0.795454253800317,0.09278018986054355,0.968,5.2897300789011075,4.51545159561864,-0.7845011861011295,0.4329320669682192,0.169484640000519,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,SSRF-JS,1.1488505236002424,0.7959423046543932,0.09337237651542542,0.968,5.286372757143124,4.511005166000714,,,0.169484640000519,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,RF-H,1.1760536046403083,0.8119559876321596,0.10538174089472545,0.968,5.293060134728688,4.397034279470099,1.5111805572527153,0.13105869271831563,0.06358277799972711,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,SSRF-H,1.2068714448565536,0.8270008386937853,0.15546418650341484,0.96,5.281472988143564,4.344359672620864,2.5157063447894816,0.012035304569394674,0.06358277799972711,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,SSRF-JS-H,1.2080721218317976,0.8275383953744807,0.15728814852869186,0.96,5.294166571264282,4.365593206020305,2.553792142055732,0.010803194036883842,0.06358277799972711,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,SSRF-rob,1.154372029964008,0.7974052597824531,0.09803875627038668,0.968,5.3086196736603775,4.558868693464814,2.3324103285368913,0.01987699092900139,0.19859670999994705,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,RidgeRF,1.1595988148784258,0.7985891634669633,0.10020251982988627,0.974,5.411844055932234,4.719043133852338,0.519479735533245,0.6035413130435883,0.14366532399981224,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,LassoRF,1.131735423674524,0.7855272482226868,0.08923207270278417,0.974,5.313530919286819,4.648941240104472,-0.9266944693801561,0.3543090074772346,0.13201790299990535,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,GBM,1.1431698504170276,0.8014541617367319,0.09821727612575491,0.966,5.250650737464977,4.384679294461428,-0.3473692291039621,0.7283871151505222,0.2138279330001751,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,RF-tuned,1.1143943151048539,0.7783593822844841,0.05641632447788714,0.968,5.282830307339649,4.450485614972146,-2.0431657979884283,0.041297999905603365,3.7608576910006377,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,SSRF-tuned,1.1175678399966773,0.7818781987946546,0.061833714456420066,0.962,5.232962918383798,4.39744662569599,-2.0779225725941375,0.0379713947115973,3.9031687990000137,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,LLF,1.1307211577353555,0.788232949033337,0.08460597676388892,0.968,5.226510055941672,4.400054669055718,-1.2165447747745854,0.22406480825624953,2.6655538059994797,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,BART,1.1931319814725803,0.8132260742941543,0.1264676278119983,0.962,5.380721903674248,4.542493373768793,2.0729036560845513,0.03843718702273268,37.94425952700021,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,2,0.1267210425760186,NGBoost,1.1601028809268732,0.7996389745125918,0.09625102811904294,0.968,5.282781050173376,4.488934844563183,0.6255786027256917,0.5317342585961292,1.3895152819995928,0.8442243910964919,0.8431329389325565,191.6,3.455738901589646,0.5695980817343308,0.8773533422068224,40,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,RF,1.307764923653653,0.8410884952545096,0.07694368045129013,0.93,6.631495508319888,4.2920857030663475,3.229143567720455,0.0012820875999516818,0.1473775750000641,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,SSRF,1.288366668073308,0.8352579579049796,0.06389383475784502,0.936,6.529321947619401,4.390003271869903,-0.8119879945517593,0.41699195414905865,0.1473775750000641,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,SSRF-JS,1.2890197954617955,0.8356134191221108,0.06454870281639066,0.936,6.530900111713907,4.393295439775108,,,0.1473775750000641,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,RF-H,1.2688813578966496,0.833156044484485,0.07048113761373884,0.952,6.326324448284214,4.729546499155886,-0.9924565501845679,0.32121518391532056,0.05603240399977949,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,SSRF-H,1.3205624928535913,0.8524296382285206,0.13274938319199736,0.956,6.350192642561737,4.873649232947572,1.0589559068094676,0.2898758339078632,0.05603240399977949,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,SSRF-JS-H,1.3225520574590273,0.8533317508035559,0.13317823550873514,0.952,6.345918290843934,4.840339114513243,1.131482816310256,0.2581234672529906,0.05603240399977949,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,SSRF-rob,1.296969971531421,0.8377948338018613,0.06940876650348302,0.936,6.569599229863364,4.37528174651468,2.8321253313103685,0.004716882602884056,0.17046889100038243,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,RidgeRF,1.299815704082688,0.8438762567711431,0.07936343275855151,0.926,6.843218091125363,4.262358166872189,0.48133008071346406,0.6303873309010719,0.09843659899979684,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,LassoRF,1.2919673997353693,0.8374621350797672,0.08626304330909568,0.934,6.560019698018135,4.45583986045763,0.1514175929264429,0.8796768827651115,0.07144557599986001,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,GBM,1.2713579407966697,0.8314234923886302,0.0676857025726502,0.936,6.6122288024437985,4.354747882073902,-0.9079812716522426,0.3641070916680784,0.2941934529999344,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,RF-tuned,1.248582977765945,0.8263369555958797,0.05229591988896824,0.948,6.380807358468094,4.50345592403734,-2.5484975367150424,0.01096746972461635,3.5374094059998242,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,SSRF-tuned,1.248147481641765,0.8232833718282627,0.04955403233152832,0.94,6.419931591889829,4.4265879709816165,-2.7543117654325506,0.005988383477963544,3.694136748999881,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
extended,dgp1,1200,20,25,5,3,0.1469661706489762,LLF,1.2381076681246728,0.8170777097054435,0.03739614880282161,0.936,6.454152164599974,4.423422240493771,-3.5345959747282607,0.00042711232492200315,2.6868085119995158,0.8522182351170262,0.8513179867756864,192.44,3.428384330846053,0.5147168885922333,0.851068133611133,20,10
