experiment,dgp,n,p,B,truth,ij,ratio,corr
ij,dgp1,300,10,10,0.14038568311970773,0.5954573923122933,4.241582040844886,0.14912398048748182
ij,dgp1,300,10,50,0.07701576975844354,0.1632935008529039,2.120260582541297,0.41339872822316215
ij,dgp1,300,10,200,0.06428960956801535,0.06264142553348183,0.974363135106773,0.7423855033658101
ij,dgp1,300,10,1000,0.06269668869391606,0.04461420823456743,0.7115879508784438,0.774008913483376
ij,dgp2,300,10,10,0.0724342584751302,0.32545626825517554,4.493126251398276,0.2701477741230157
ij,dgp2,300,10,50,0.0391933772757188,0.08453731114034037,2.1569284663996835,0.25797159436098926
ij,dgp2,300,10,200,0.03343086573983779,0.0337130706990724,1.0084414493310092,0.3385721273000512
ij,dgp2,300,10,1000,0.031618397418084344,0.023151740501605435,0.7322237175867632,0.583797649999424
ij,dgp3,300,10,10,0.08971283904047779,0.46196966620522895,5.149426449393621,0.43570378504482565
ij,dgp3,300,10,50,0.04735310751302668,0.11786085333242663,2.4889782217566925,0.4057654536417584
ij,dgp3,300,10,200,0.03918305486608651,0.041431620703069216,1.0573861799358801,0.41787270367000834
ij,dgp3,300,10,1000,0.03721347371011917,0.028706486296333444,0.7714003406386519,0.7334582172400056
