experiment,dgp,n,p,B,min_leaf,reps,lam_best,risk_best,risk_one,lam_tree
level,dgp1,200,10,5,5,15,0.36,0.13609569318307807,0.2558401488897364,0.7929660001704426
level,dgp1,200,10,25,5,15,0.6,0.11266449590540226,0.1393142427266339,0.7941116786111166
level,dgp1,200,10,100,5,15,0.7000000000000001,0.1005019478329408,0.11392618520040453,0.7925628954763303
level,dgp1,200,10,500,5,15,0.73,0.09772535791821454,0.10817923727800018,0.7931010536649609
level,dgp1,600,10,5,5,15,0.42,0.11607541718937296,0.22652876129956206,0.793375491950459
level,dgp1,600,10,25,5,15,0.68,0.081395965159916,0.10154339339468209,0.7954147293097104
level,dgp1,600,10,100,5,15,0.76,0.07019599592309245,0.07998464227355705,0.7960331782050414
level,dgp1,600,10,500,5,15,0.78,0.0667658061110262,0.07473695295686214,0.7962191338809013
level,dgp1,1200,10,5,5,15,0.43,0.1102370525875216,0.20804591012428109,0.793390447721274
level,dgp1,1200,10,25,5,15,0.71,0.07378226354881959,0.08970270980603166,0.7912750903835909
level,dgp1,1200,10,100,5,15,0.81,0.060565423616743476,0.06630545905983126,0.7909540065641987
level,dgp1,1200,10,500,5,15,0.84,0.0562081654554963,0.0599352788507935,0.7911727156929946
level,dgp2,200,10,5,5,15,0.4,0.07532782216531957,0.12921115469181804,0.7885130157333524
level,dgp2,200,10,25,5,15,0.67,0.060064746052448055,0.0697816801262524,0.791132862368249
level,dgp2,200,10,100,5,15,0.79,0.052832200010971504,0.05601312278553216,0.7919120836687182
level,dgp2,200,10,500,5,15,0.8200000000000001,0.05033120174820153,0.052620588141069354,0.7945988174482863
level,dgp2,600,10,5,5,15,0.44,0.06665746160827604,0.1161928426557684,0.7819017274899578
level,dgp2,600,10,25,5,15,0.75,0.04523611999452486,0.05138020096763516,0.7854334511338849
level,dgp2,600,10,100,5,15,0.85,0.03776362909263664,0.03952463143866054,0.7850701781884141
level,dgp2,600,10,500,5,15,0.88,0.03549244354850682,0.036599884850826346,0.7858687689189054
level,dgp2,1200,10,5,5,15,0.47000000000000003,0.058490088809964404,0.105659946490695,0.788941194593965
level,dgp2,1200,10,25,5,15,0.75,0.03478030625096835,0.0414805702837138,0.7910700147713243
level,dgp2,1200,10,100,5,15,0.84,0.027725833004478066,0.03005766912432449,0.790828413746245
level,dgp2,1200,10,500,5,15,0.87,0.02522126416016527,0.026752201365446628,0.7908708177852469
level,dgp3,200,10,5,5,15,0.5,0.13045591670059128,0.19211980468482304,0.7831836777596173
level,dgp3,200,10,25,5,15,0.84,0.09342998967103967,0.09693903701457447,0.7828548573250995
level,dgp3,200,10,100,5,15,0.93,0.08451436007982634,0.08508525460989923,0.7771551524497045
level,dgp3,200,10,500,5,15,0.9500000000000001,0.0820446982419168,0.08228941923345276,0.778463244344971
level,dgp3,600,10,5,5,15,0.56,0.09819329872966896,0.15212149169850905,0.7621376750486127
level,dgp3,600,10,25,5,15,0.8200000000000001,0.05811001466675569,0.06402393356031605,0.7636118037339686
level,dgp3,600,10,100,5,15,0.9,0.046090273765297445,0.047912403163025176,0.7658990046432286
level,dgp3,600,10,500,5,15,0.92,0.04212271742113541,0.04314367192387496,0.7658579178519296
level,dgp3,1200,10,5,5,15,0.49,0.11161698381137837,0.19283169143009526,0.6660214481587073
level,dgp3,1200,10,25,5,15,0.75,0.0684127077168974,0.08110074365918374,0.67997048183992
level,dgp3,1200,10,100,5,15,0.8200000000000001,0.05758121135273496,0.06333187139347267,0.681834811344401
level,dgp3,1200,10,500,5,15,0.85,0.054285648925223355,0.058354660568166065,0.6846294661543889
