experiment,dgp,n,p,B,min_leaf,rep,method,mse,mae,mse_true,lam_js,leaves,snr
substitution,dgp1,600,10,1,2,0,RF,2.2059016960528517,1.1312492129288219,1.0167101713529874,0.7543912074888354,224.0,0.1512192043539231
substitution,dgp1,600,10,1,2,0,SSRF,1.8274668569740673,1.01329900285871,0.6277605557834013,0.7543912074888354,224.0,0.1512192043539231
substitution,dgp1,600,10,1,2,0,SSRF-JS,1.7921967879891623,1.001043424161631,0.5971295689449305,0.7543912074888354,224.0,0.1512192043539231
substitution,dgp1,600,10,3,2,0,RF,1.5049750354403635,0.9135789414154603,0.35273329768591405,0.7647214830223747,226.66666666666666,0.1512192043539231
substitution,dgp1,600,10,3,2,0,SSRF,1.3976745194798361,0.871833711846369,0.2308878885270043,0.7647214830223747,226.66666666666666,0.1512192043539231
substitution,dgp1,600,10,3,2,0,SSRF-JS,1.3953581656771488,0.8703452874387303,0.22873471739621365,0.7647214830223747,226.66666666666666,0.1512192043539231
substitution,dgp1,600,10,5,2,0,RF,1.3785396544879338,0.8646631147812986,0.23987205199427195,0.7813070986647068,231.0,0.1512192043539231
substitution,dgp1,600,10,5,2,0,SSRF,1.3138707640475886,0.834938196492851,0.1598723398978368,0.7813070986647068,231.0,0.1512192043539231
substitution,dgp1,600,10,5,2,0,SSRF-JS,1.3137529552555658,0.8355635859643923,0.15950091153136653,0.7813070986647068,231.0,0.1512192043539231
substitution,dgp1,600,10,10,2,0,RF,1.337772164370174,0.8466032349181881,0.1497969509383993,0.7965592916308536,233.0,0.1512192043539231
substitution,dgp1,600,10,10,2,0,SSRF,1.3027215618952883,0.8276101785200505,0.11027192787048398,0.7965592916308536,233.0,0.1512192043539231
substitution,dgp1,600,10,10,2,0,SSRF-JS,1.3037234597623482,0.8279652295354352,0.110058735114703,0.7965592916308536,233.0,0.1512192043539231
substitution,dgp1,600,10,25,2,0,RF,1.2743271864102583,0.8163812304175655,0.0969407092792167,0.8056696612574372,233.48,0.1512192043539231
substitution,dgp1,600,10,25,2,0,SSRF,1.2613937433745441,0.808974800803239,0.07702503937467649,0.8056696612574372,233.48,0.1512192043539231
substitution,dgp1,600,10,25,2,0,SSRF-JS,1.2620320232648454,0.809297374427561,0.07732049223751382,0.8056696612574372,233.48,0.1512192043539231
substitution,dgp1,600,10,50,2,0,RF,1.2569420852696087,0.8088307885563651,0.08042316128141715,0.8065582963144168,233.2,0.1512192043539231
substitution,dgp1,600,10,50,2,0,SSRF,1.2484747818679658,0.8040371298215341,0.06499797477545262,0.8065582963144168,233.2,0.1512192043539231
substitution,dgp1,600,10,50,2,0,SSRF-JS,1.249047355392732,0.8041933588367568,0.06545396061646622,0.8065582963144168,233.2,0.1512192043539231
substitution,dgp1,600,10,100,2,0,RF,1.2490314363185824,0.8076982732122752,0.07327096350800236,0.811059440198816,233.42,0.1512192043539231
substitution,dgp1,600,10,100,2,0,SSRF,1.2431651743808558,0.8031781529615557,0.06051688762673484,0.811059440198816,233.42,0.1512192043539231
substitution,dgp1,600,10,100,2,0,SSRF-JS,1.243680528848137,0.8033787549052017,0.060846792214992604,0.811059440198816,233.42,0.1512192043539231
substitution,dgp1,600,10,250,2,0,RF,1.247669396267975,0.8093550843877946,0.06773936608109418,0.8105149917477585,233.148,0.1512192043539231
substitution,dgp1,600,10,250,2,0,SSRF,1.2432125190944905,0.8043752670021673,0.057255029014108796,0.8105149917477585,233.148,0.1512192043539231
substitution,dgp1,600,10,250,2,0,SSRF-JS,1.2440086747073835,0.8047092324908913,0.05768208400997739,0.8105149917477585,233.148,0.1512192043539231
