"experiment","dgp","n","p","B","min_leaf","rep","method","mse","mse_true"
"equivalence","dgp1",600,10,5,5,1,"RF",1.60912026509423,0.374922215530428
"equivalence","dgp1",600,10,5,5,1,"SSRF-JS",1.5237808062471,0.29924081792395
"equivalence","dgp1",600,10,10,5,1,"RF",1.44961808211847,0.209063338359988
"equivalence","dgp1",600,10,10,5,1,"SSRF-JS",1.40079629581176,0.169788895621727
"equivalence","dgp1",600,10,15,5,1,"RF",1.39659724137983,0.164162941978516
"equivalence","dgp1",600,10,15,5,1,"SSRF-JS",1.35677731018562,0.132522750002333
"equivalence","dgp1",600,10,25,5,1,"RF",1.35811445034743,0.12801207190557
"equivalence","dgp1",600,10,25,5,1,"SSRF-JS",1.326044981825,0.103853065457173
"equivalence","dgp1",600,10,40,5,1,"RF",1.33830113962565,0.112529609465058
"equivalence","dgp1",600,10,40,5,1,"SSRF-JS",1.31213469669326,0.0935110216315409
"equivalence","dgp1",600,10,60,5,1,"RF",1.32343971173857,0.102977280122391
"equivalence","dgp1",600,10,60,5,1,"SSRF-JS",1.30007067832855,0.0863315909202621
"equivalence","dgp1",600,10,100,5,1,"RF",1.30959459188916,0.0943346260921501
"equivalence","dgp1",600,10,100,5,1,"SSRF-JS",1.28800228479463,0.0789059387893639
"equivalence","dgp1",600,10,150,5,1,"RF",1.30181367513337,0.0898951037283076
"equivalence","dgp1",600,10,150,5,1,"SSRF-JS",1.28123139991606,0.0753095970254363
"equivalence","dgp1",600,10,250,5,1,"RF",1.29308667109516,0.0834773227298873
"equivalence","dgp1",600,10,250,5,1,"SSRF-JS",1.27444103032659,0.0704167990318973
"equivalence","dgp1",600,10,400,5,1,"RF",1.29074780667463,0.0780332268914248
"equivalence","dgp1",600,10,400,5,1,"SSRF-JS",1.2727280806424,0.0658578933872439
"equivalence","dgp1",600,10,600,5,1,"RF",1.28848349996929,0.0769912552112914
"equivalence","dgp1",600,10,600,5,1,"SSRF-JS",1.27098969291627,0.0653948115629553
"equivalence","dgp1",600,10,5,5,2,"RF",1.73751597312888,0.461868323805154
"equivalence","dgp1",600,10,5,5,2,"SSRF-JS",1.68996604811766,0.417769515234853
"equivalence","dgp1",600,10,10,5,2,"RF",2.00494648034097,0.683855864376311
"equivalence","dgp1",600,10,10,5,2,"SSRF-JS",1.95079819276431,0.634779976750738
"equivalence","dgp1",600,10,15,5,2,"RF",1.83700774497275,0.541879037732059
"equivalence","dgp1",600,10,15,5,2,"SSRF-JS",1.79371264368052,0.503025361773301
"equivalence","dgp1",600,10,25,5,2,"RF",1.72212233353553,0.435890645391289
"equivalence","dgp1",600,10,25,5,2,"SSRF-JS",1.67365104140268,0.395980087314881
"equivalence","dgp1",600,10,40,5,2,"RF",1.54310617675781,0.279273190297935
