"dgp","n","p","B","method","mse_true","se","cov","isc","rt"
"dgp1",300,10,10,"GBM",0.102571363591933,NA,0.939,6.46379597796238,0.0465000000000018
"dgp1",300,10,10,"LassoRF",0.246788603473362,NA,0.926,6.81379757621885,0.041999999999998
"dgp1",300,10,10,"RF",0.204563369574715,NA,0.95,6.58825369015238,0.0125000000000028
"dgp1",300,10,10,"RF-H",0.11986982888373,NA,0.938,6.54911621146014,0.0335000000000001
"dgp1",300,10,10,"RF-tuned",0.248513522809777,NA,0.937,6.78240945949748,0.481000000000002
"dgp1",300,10,10,"RidgeRF",0.24196649968423,NA,0.949,6.75697260028284,0.0645000000000024
"dgp1",300,10,10,"SSRF",0.171926756073387,NA,0.948,6.54101921329907,0.0125000000000028
"dgp1",300,10,10,"SSRF-JS",0.17708929807537,NA,0.948,6.5524251704478,0.0125000000000028
"dgp1",300,10,10,"SSRF-JS-H",0.140476910616622,NA,0.945,6.47969893348677,0.0335000000000001
"dgp1",300,10,10,"SSRF-naive",0.192147666653348,NA,0.95,6.57388463770291,0.0125000000000028
"dgp1",300,10,10,"SSRF-rob",0.199697104969267,NA,0.95,6.58121654873747,0.0339999999999989
"dgp1",300,10,10,"SSRF-tuned",0.185796917010015,NA,0.948,6.56423056462239,0.498000000000001
"dgp1",300,10,500,"GBM",0.101532348161014,NA,0.946,6.35800447633743,0.0600000000000023
"dgp1",300,10,500,"LassoRF",0.174435223575252,NA,0.954,6.33543008302077,0.2225
"dgp1",300,10,500,"RF",0.112819647730949,NA,0.947,6.34085685427941,0.584500000000002
"dgp1",300,10,500,"RF-H",0.0764078705413633,NA,0.945,6.25526938303838,0.634499999999999
"dgp1",300,10,500,"RF-tuned",0.0837810161990708,NA,0.943,6.28595282438663,0.653499999999998
"dgp1",300,10,500,"RidgeRF",0.111941839496408,NA,0.95,6.27541790434356,0.341000000000001
"dgp1",300,10,500,"SSRF",0.0966390774189935,NA,0.942,6.30975612460349,0.584500000000002
"dgp1",300,10,500,"SSRF-JS",0.0976129274640355,NA,0.942,6.31087874780263,0.584500000000002
"dgp1",300,10,500,"SSRF-JS-H",0.128429518099296,NA,0.939,6.37923961217098,0.634499999999999
"dgp1",300,10,500,"SSRF-naive",0.106383146211165,NA,0.946,6.32966926665837,0.584500000000002
"dgp1",300,10,500,"SSRF-rob",0.110855051874461,NA,0.946,6.33858042710675,1.656
"dgp1",300,10,500,"SSRF-tuned",0.0811974140788082,NA,0.944,6.25909891517334,1.059
"dgp1",600,20,10,"GBM",0.0839305950854918,NA,0.963,6.04342051932389,0.114999999999998
"dgp1",600,20,10,"LassoRF",0.218777190277368,NA,0.95,6.25628451426636,0.0435000000000016
"dgp1",600,20,10,"RF",0.193277913749706,NA,0.952,6.08284090524285,0.0345000000000013
"dgp1",600,20,10,"RF-H",0.146205102526314,NA,0.959,6.14037438410216,0.0194999999999972
"dgp1",600,20,10,"RF-tuned",0.0970189791479908,NA,0.959,6.04262724593493,1.9875
"dgp1",600,20,10,"RidgeRF",0.217327590473597,NA,0.96,6.05603992014572,0.0625
"dgp1",600,20,10,"SSRF",0.168119581710779,NA,0.954,6.0521279069202,0.0345000000000013
"dgp1",600,20,10,"SSRF-JS",0.17142816034521,NA,0.953,6.05711644219942,0.0345000000000013
"dgp1",600,20,10,"SSRF-JS-H",0.14783104942627,NA,0.959,6.19412096994023,0.0194999999999972
"dgp1",600,20,10,"SSRF-naive",0.183868924977409,NA,0.953,6.07158040592745,0.0345000000000013
"dgp1",600,20,10,"SSRF-rob",0.190939021622813,NA,0.953,6.08067925704228,0.0620000000000012
"dgp1",600,20,10,"SSRF-tuned",0.105361478394878,NA,0.966,5.95537277151118,2.008
"dgp1",600,20,500,"GBM",0.0791868172485675,NA,0.951,6.17804792412803,0.176499999999994
"dgp1",600,20,500,"LassoRF",0.107210516884787,NA,0.945,6.18104417017616,0.494500000000006
"dgp1",600,20,500,"RF",0.0786940579423328,NA,0.946,6.11590416305903,1.6335
"dgp1",600,20,500,"RF-H",0.0792523918099171,NA,0.949,6.25014987550768,0.985499999999998
"dgp1",600,20,500,"RF-tuned",0.0638799170747016,NA,0.945,6.05678335892535,2.5745
"dgp1",600,20,500,"RidgeRF",0.100901026567047,NA,0.952,6.15365054687979,1.166
"dgp1",600,20,500,"SSRF",0.0737454008287529,NA,0.944,6.12590330335811,1.6335
"dgp1",600,20,500,"SSRF-JS",0.0745443689247328,NA,0.944,6.1253799480166,1.6335
"dgp1",600,20,500,"SSRF-JS-H",0.147397364605795,NA,0.952,6.47555168851247,0.985499999999998
"dgp1",600,20,500,"SSRF-naive",0.0767466753183596,NA,0.945,6.11818345845917,1.6335
"dgp1",600,20,500,"SSRF-rob",0.0781850862943569,NA,0.946,6.11634757383347,2.965
"dgp1",600,20,500,"SSRF-tuned",0.0634026544953272,NA,0.945,6.07916666056586,3.5695
"dgp1",1200,20,10,"GBM",0.067019125725579,NA,0.956666666666667,5.80325781944362,0.237500000000004
"dgp1",1200,20,10,"LassoRF",0.185439973371864,NA,0.966666666666667,5.999160214264,0.0594999999999999
"dgp1",1200,20,10,"RF",0.198267379294841,NA,0.959166666666667,6.15528513334453,0.0764999999999887
"dgp1",1200,20,10,"RF-H",0.123089117851144,NA,0.954166666666667,5.90823627372066,0.0344999999999942
"dgp1",1200,20,10,"RF-tuned",0.108611716763424,NA,0.96,5.89529788851194,5.49299999999999
"dgp1",1200,20,10,"RidgeRF",0.194921196871811,NA,0.953333333333333,6.08609700649175,0.101500000000001
"dgp1",1200,20,10,"SSRF",0.17125782162543,NA,0.960833333333333,6.10315234562956,0.0764999999999887
"dgp1",1200,20,10,"SSRF-JS",0.17559363766274,NA,0.959166666666667,6.10456280757564,0.0764999999999887
"dgp1",1200,20,10,"SSRF-JS-H",0.149428296592347,NA,0.951666666666667,5.94897115845854,0.0344999999999942
"dgp1",1200,20,10,"SSRF-naive",0.187873437710473,NA,0.96,6.12941661220083,0.0764999999999887
"dgp1",1200,20,10,"SSRF-rob",0.196238297710314,NA,0.959166666666667,6.15061935857314,0.11699999999999
