"experiment","dgp","n","p","B","min_leaf","rep","method","mse","mae","mse_true","lambda","leaves","n_eff","snr"
"substitution","dgp1",600,10,1,2,1,"RF",3.25478537750497,1.33833329782547,1.88837078553414,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,1,2,1,"SSRF-JS",2.93919613596604,1.27410748594967,1.58261728901351,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,1,2,1,"SSRF",2.92527334352072,1.27191216365219,1.56796804992902,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,3,2,1,"RF",1.96381698881871,1.06129936335976,0.624734465827228,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,3,2,1,"SSRF-JS",1.76546238396359,0.996997302329031,0.446203790419021,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,3,2,1,"SSRF",1.76001764047284,0.99485388776074,0.440714371461426,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,5,2,1,"RF",1.6831594607786,0.97246407896897,0.36973323451894,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,5,2,1,"SSRF-JS",1.57897481831642,0.935609529022383,0.278577664151568,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,5,2,1,"SSRF",1.57541235644804,0.933842892387389,0.274987864588672,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,10,2,1,"RF",1.58977494367054,0.929245455374781,0.261586968941056,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,10,2,1,"SSRF-JS",1.52969513695965,0.907942624775012,0.211399216062517,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,10,2,1,"SSRF",1.52698465389234,0.906802378124725,0.209308042760609,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,25,2,1,"RF",1.43580422940475,0.879304941384711,0.170442710135697,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,25,2,1,"SSRF-JS",1.40453748130748,0.867494291703278,0.142310519738253,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,25,2,1,"SSRF",1.40310298348457,0.86687834699062,0.141204874686574,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,50,2,1,"RF",1.39065632144685,0.864480415346379,0.12869114302536,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,50,2,1,"SSRF-JS",1.36783502196364,0.855000836995698,0.10797328765585,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,50,2,1,"SSRF",1.36685854918635,0.854567244443603,0.107170686078435,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,100,2,1,"RF",1.38203102798101,0.860679437476224,0.114623435456388,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,100,2,1,"SSRF-JS",1.3611124904197,0.852279666505528,0.096458738127336,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,100,2,1,"SSRF",1.3604957790303,0.852045964073785,0.0958780819817068,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,250,2,1,"RF",1.37001382486842,0.853983599950201,0.105963140822173,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,250,2,1,"SSRF-JS",1.3513712176174,0.846811502194228,0.0889653432197144,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,250,2,1,"SSRF",1.35084857200767,0.846602836805674,0.0885079334185577,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,500,2,1,"RF",1.36600592021415,0.853365152359613,0.102129076611834,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,500,2,1,"SSRF-JS",1.34809610961805,0.846612383449422,0.0857743843093289,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,500,2,1,"SSRF",1.34776002666479,0.846470059707834,0.0853760608696969,0.885972954887377,339.014,1.11949359023521,0.119247957182251
"substitution","dgp1",600,10,1,2,2,"RF",2.5795897312317,1.20878574282362,1.19818041370679,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,1,2,2,"SSRF-JS",2.30441136480888,1.13495096125505,0.928090058866862,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,1,2,2,"SSRF",2.29258095251186,1.13240303300459,0.916980067096353,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,3,2,2,"RF",1.90383998808508,1.01546999588683,0.55890051865939,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,3,2,2,"SSRF-JS",1.8153660489411,0.986305140857999,0.47150222766378,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,3,2,2,"SSRF",1.81104696118932,0.98496489793558,0.468745158895751,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,5,2,2,"RF",1.74183739432718,0.964695337960224,0.358927631478214,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,5,2,2,"SSRF-JS",1.66845144526664,0.939290880320162,0.295298222809556,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,5,2,2,"SSRF",1.6649689495241,0.938516636221483,0.29390157257696,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,10,2,2,"RF",1.61950558200791,0.908209302102492,0.233526098431775,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,10,2,2,"SSRF-JS",1.57558270429207,0.893005598932382,0.196944730572704,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,10,2,2,"SSRF",1.57391528080302,0.892801466866758,0.196763207273754,0.890244691558267,338.948,1.11930443607869,0.143670817661188
"substitution","dgp1",600,10,25,2,2,"RF",1.49010234839509,0.863516245163935,0.136906901775332,0.890244691558267,338.948,1.11930443607869,0.143670817661188
