"dgp","min_leaf","B","gain_js","gain_eb","win_js","wilcox_p"
"dgp1",2,1,-19.3665505057369,-20.2180501931175,100,0.25
"dgp1",2,3,-22.1072944744772,-22.7932857659268,100,0.25
"dgp1",2,5,-21.191029521173,-21.8710463304048,100,0.25
"dgp1",2,10,-17.4253321823783,-17.8639069211871,100,0.25
"dgp1",2,25,-14.1312256989791,-14.6130933835183,100,0.25
"dgp1",2,50,-11.9146023615747,-12.354905967772,100,0.25
"dgp1",2,100,-11.1238491331486,-11.4314198016982,100,0.25
"dgp1",2,250,-11.0894206556084,-11.4207409059507,100,0.25
"dgp1",2,500,-11.1176239026182,-11.4186632954065,100,0.25
"dgp1",5,1,-26.3153089078136,-29.3772672725675,100,0.25
"dgp1",5,3,-19.9738067850118,-22.941779879225,100,0.25
"dgp1",5,5,-18.0941726953923,-20.70114328594,100,0.25
"dgp1",5,10,-14.7476356777183,-16.7322298020593,100,0.25
"dgp1",5,25,-11.4558982991712,-13.1812266044525,100,0.25
"dgp1",5,50,-9.36062535271381,-10.7243775692773,100,0.25
"dgp1",5,100,-8.20394854835451,-9.42039664424886,100,0.25
"dgp1",5,250,-7.17360850692219,-8.25116833484949,100,0.25
"dgp1",5,500,-6.68314058254238,-7.64596745611154,100,0.25
"dgp1",20,1,-22.7487041589882,-34.5507466700683,100,0.25
"dgp1",20,3,-18.424508498824,-31.2110790176189,100,0.25
"dgp1",20,5,-19.2281334309903,-31.2305140020993,100,0.25
"dgp1",20,10,-19.3037739198195,-29.8211639503189,100,0.25
"dgp1",20,25,-15.4514369406108,-23.5740776053791,100,0.25
"dgp1",20,50,-14.6197396993161,-21.9561025813113,100,0.25
"dgp1",20,100,-13.0967924774151,-19.2741143877162,100,0.25
"dgp1",20,250,-13.1992602136472,-18.5243581534872,100,0.25
"dgp1",20,500,-13.1419842907371,-18.4282685159726,100,0.25
"dgp2",2,1,-7.8210313151138,-8.17772542221433,100,0.25
"dgp2",2,3,-23.0837025736143,-23.4359181525684,100,0.25
"dgp2",2,5,-20.4386017128398,-20.9762761008603,100,0.25
"dgp2",2,10,-15.2262554579049,-15.6908439496732,100,0.25
"dgp2",2,25,-14.4143703149112,-14.6604022590087,100,0.25
"dgp2",2,50,-12.7633988045193,-12.8650509252698,100,0.25
"dgp2",2,100,-12.6217007991616,-12.7917374757795,100,0.25
"dgp2",2,250,-10.7704087388584,-10.9168983582919,100,0.25
"dgp2",2,500,-9.98780419941132,-10.1189158786567,100,0.25
"dgp2",5,1,-18.0189826652631,-20.9302644964455,100,0.25
"dgp2",5,3,-17.9858722453556,-21.4217881937301,100,0.25
"dgp2",5,5,-22.3423237307265,-25.6148446180679,100,0.25
"dgp2",5,10,-16.3059374626225,-19.3341088555138,100,0.25
"dgp2",5,25,-13.2083689456633,-15.8351707072302,100,0.25
"dgp2",5,50,-11.1113785312661,-13.9138987468724,100,0.25
"dgp2",5,100,-8.04876063274068,-10.3670551897879,100,0.25
"dgp2",5,250,-7.67497497425862,-10.0004007306431,100,0.25
"dgp2",5,500,-7.71746934726094,-9.99186513983783,100,0.25
"dgp2",20,1,-21.1295378818717,-40.780077881803,100,0.25
"dgp2",20,3,-20.7095803683206,-35.4859507768354,100,0.25
"dgp2",20,5,-20.0705159303702,-31.9404819507945,100,0.25
"dgp2",20,10,-18.7144760714754,-28.6961841880796,100,0.25
"dgp2",20,25,-12.8695400268684,-20.9786598965776,100,0.25
"dgp2",20,50,-10.7842643467712,-18.0762521062766,100,0.25
"dgp2",20,100,-8.35855306379518,-16.3526208932976,100,0.25
"dgp2",20,250,-7.03999438609521,-14.5211597532918,100,0.25
"dgp2",20,500,-6.85101428790588,-14.9514109324926,100,0.25
"dgp3",2,1,-28.8717780512568,-29.7366593249548,100,0.25
"dgp3",2,3,-37.026500471729,-37.6085243396965,100,0.25
"dgp3",2,5,-29.7906880850972,-30.5085314921855,100,0.25
"dgp3",2,10,-25.3676721488221,-26.1075434945068,100,0.25
"dgp3",2,25,-19.5612453009327,-20.097828163673,100,0.25
"dgp3",2,50,-13.5227812516316,-14.1614743303726,100,0.25
"dgp3",2,100,-12.2649709632626,-12.9016221589263,100,0.25
"dgp3",2,250,-11.4432888818647,-12.1473022028619,100,0.25
"dgp3",2,500,-11.5538426018309,-12.2102047509189,100,0.25
"dgp3",5,1,-30.8837740776854,-35.7033136078003,100,0.25
"dgp3",5,3,-20.6754473913345,-22.0023279155841,100,0.25
"dgp3",5,5,-17.1193722273512,-19.5255899222816,100,0.25
"dgp3",5,10,-13.3320069455507,-15.9849260721712,100,0.25
"dgp3",5,25,-15.0025421932384,-17.6940106413091,100,0.25
"dgp3",5,50,-16.5500882769476,-19.0793257763836,100,0.25
"dgp3",5,100,-19.8570113203943,-21.9058610075803,100,0.25
"dgp3",5,250,-24.3196981636069,-26.059182462977,100,0.25
"dgp3",5,500,-22.9038176877872,-24.6846911311476,100,0.25
"dgp3",20,1,-20.5700412308438,-35.2362334018672,100,0.25
"dgp3",20,3,-19.3824889150648,-33.8975994926495,100,0.25
"dgp3",20,5,-15.6797462546471,-29.935673579498,100,0.25
"dgp3",20,10,-11.040741543491,-23.4532816872965,100,0.25
"dgp3",20,25,-7.16050375135179,-18.8086129573572,100,0.25
"dgp3",20,50,-5.06784670019292,-15.9527093823789,100,0.25
"dgp3",20,100,-3.76191692326313,-14.7021940494426,100,0.25
"dgp3",20,250,-3.48643882060181,-14.251083951867,100,0.25
"dgp3",20,500,-3.02092085349193,-13.8608127946615,100,0.25
